Item	ItemExpID	context	adj	noun	cond	typ
328	152	Fred put the worm on the	wet	hook	1	exp
58	33	Upon mother's strict orders, the cat's smelly litter box was kept in the	outdoor	basement	1	exp
370	168	In the mysterious wooden box the girl found the	brass	map	2	exp
28	17	Each night the campers built a huge	improvised	tent	0	exp
456	224	When he got to work, the baker prepared	fresh	bread	3	filler
200	99	She wore heavy wool socks and her sturdiest boots to go walking in the	melting	snow	3	exp
181	90	Most men cannot understand why women wear	ugly	heels	1	exp
333	154	Mary went into her room to look at her	impressionist	books	2	exp
104	58	She was having a hard time because she didn't know the	correct	language	2	exp
105	59	I don't know what his secret was, but my brother always managed to get the best	looking	girls	0	exp
62	36	The journalist reported that many collapsed during the	tropical	storm	0	exp
472	240	Robert could fix the bike if he had the	right	tools	3	filler
123	68	She usually let her very competent secretary handle the	phone	tasks	2	exp
467	235	The waitress wiped the table with a	damp	cloth	3	filler
121	67	As usual, he didn't do well because he had not prepared his	subconscious	speech	1	exp
413	181	They waited for a windy day to use	their	kite	3	filler
436	204	The lucky explorers discovered diamonds in the	dark	cave	3	filler
432	200	The pilot had trouble seeing due to the	thick	fog	3	filler
448	216	The mother was excited to hold her	newborn	baby	3	filler
246	115	He was cold most of the night and finally got up to get another	knitted	sweater	0	exp
445	213	Harrison didn't want to clip the wings of	his	bird	3	filler
453	221	To help her plants grow, Carly used a	new	fertilizer	3	filler
102	57	He was soothed by the gentle	instrumental	music	3	exp
199	98	The man was caught selling an illegal	unregistered	drug	1	exp
362	163	His ring fell into a hole in the	tiled	sink	1	exp
241	113	Tim's friend pushed him into a	brick	wall	0	exp
466	234	The personal trainer took a job at the	local	gym	3	filler
142	76	He hated to move, but Richard wanted to live closer to his	single	mother	3	exp
444	212	The unmarried man lived in a	bachelor	pad	3	filler
240	112	He positioned the violin under his	outstretched	arm	0	exp
2	2	His skin was red from spending the day at the	sandy	pool	2	exp
338	156	She decided to start a new	temporary	job	3	exp
280	130	Every month Rick had to clean his	speedy	house	2	exp
262	121	In his day, that old guy was one of the best	soccer	players	3	exp
414	182	Use tools to remove the lid from a	tin	can	3	filler
293	137	He always seemed to be interested in looking at the	gorgeous	women	0	exp
277	129	Ida wanted to sing folk songs at the picnic, so she brought her	wireless	guitar	1	exp
128	70	Mrs. Stevens said that little Dennis was the loudest boy in the	fictional	class	1	exp
410	178	While his parents vacationed, the kid threw a	huge	party	3	filler
407	175	It's dangerous when cars get stuck on a	train	track	3	filler
8	6	The young boy asked for another	tasty	cookie	1	exp
229	107	The sewer backed up and caused a	massive	smell	2	exp
420	188	Hank made a special horseshoe for Blazer's	deformed	hoof	3	filler
191	94	At the park next to the beach she saw a man with a	funny	hat	0	exp
35	21	The rude waiter was not given a	generous	tip	3	exp
281	131	They decided to buy a small place and build an addition with two more	furnished	floors	2	exp
113	64	The cows moved from the sun into the	partial	barn	2	exp
5	4	If he strained his eyes he could see a	flying	speck	2	exp
336	155	I think that my stockbroker is a	petty	liar	2	exp
250	117	Although John felt some remorse he decided to return the	library	book	3	exp
44	24	The jeweler was asked if he would examine the ring's huge	black	diamond	1	exp
464	232	The ranch workers were startled by the charging	angry	bull	3	filler
408	176	The rotten fruit had turned into a	soft	mush	3	filler
409	177	The biker fell on his head, damaging his	frontal	lobe	3	filler
119	66	They waited a long time to see the	live	show	0	exp
411	179	The troubled boy decided to join the	neighborhood	gang	3	filler
16	11	He always hid an extra set of keys under a	Persian	mat	1	exp
194	95	He slipped and fell on the	thin	pavement	2	exp
421	189	To stay warm in cold weather, wear a	winter	coat	3	filler
71	40	Rushing out he forgot to take his	thin	keys	1	exp
24	15	Phil put some drops in his	soft	eyes	1	exp
85	47	Most of the trees died after last year's	blazing	fire	0	exp
99	55	The bridesmaid had an ugly	revealing	dress	3	exp
61	35	Helen reached up to dust the	topmost	shelf	3	exp
42	23	Our government was secretly supplying the rebels with arms and	live	money	1	exp
438	206	To start the Sumo match they struck a	large	gong	3	filler
427	195	Kristin claimed to be the famous actor's	biggest	fan	3	filler
30	18	Sandy always wished that she had had a	twin	cat	2	exp
431	199	Martin always dreamed of being a	police	officer	3	filler
367	166	Although Jan was usually careful, she had forgotten to turn off the	ultraviolet	stove	1	exp
82	46	I sat far off to the side of the auditorium and my line of sight was blocked by a	tall	man	3	exp
203	101	Mr. Smith enjoyed showing people his newly installed	satellite	television	1	exp
316	148	The old woman was the only one to see the	eerie	ghost	3	exp
295	138	There was a moth caught in the	bright	web	1	exp
290	136	As a punishment, his parents immediately took away his	favorite	phone	1	exp
405	173	The house filled with smells of the	freshly-baked	bread	3	filler
302	141	He smiled nervously as he searched through his pockets for a	fresh	dollar	1	exp
46	26	During years of drudgery, the man had derived comfort from a single	holy	tune	2	exp
13	9	Steve spilled coffee all over his clean white	cargo	pants	0	exp
443	211	The man bought his girlfriend a	diamond	ring	3	filler
454	222	She had arranged all her dolls in a	neat	row	3	filler
305	143	They couldn't decide on a name for their new	premature	baby	3	exp
424	192	Steven went to market and purchased	ground	beef	3	filler
475	243	Nicole hung the wall painting using a	small	nail	3	filler
136	72	After dinner they washed the	dirty	car	2	exp
437	205	Sally took her children to the	candy	store	3	filler
309	145	She left the tiny baby alone in the	waiting	crib	1	exp
209	102	The hikers wanted to camp close to the	frozen	lake	3	exp
306	144	He put a clean sheet on the	picnic	table	0	exp
96	54	Barry wisely chose to pay the	monthly	bill	1	exp
81	45	Sharon dried the bowls with a	paper	rag	2	exp
141	75	He looked worried because he might have broken his	right	arm	3	exp
449	217	The parked cars were damaged by the	violent	storm	3	filler
183	91	The other driver was so angry he threatened him with a	loaded	lawsuit	2	exp
440	208	The frightened children ran from the	growling	dog	3	filler
289	135	The Italian chef was known for his fabulous	bowtie	pasta	3	exp
49	28	She was named after her	surrogate	aunt	2	exp
12	8	The university wouldn't let him register until he paid the overdue fines on the borrowed	student	loan	0	exp
417	185	At the landfill, Fred cut himself on a	rusty	nail	3	filler
268	125	Randy froze when he saw a shadow at the end of the	narrow	hallway	3	exp
358	161	Peter painted the walls of the bird exhibit light blue to resemble the	Pacific	sky	1	exp
86	48	While they were eating pancakes, Albert noticed a bee swimming in the	tonic	syrup	1	exp
288	134	No matter how hard she tried, she could not remember the	maiden	number	2	exp
80	44	Their picnic was ruined by the	intermittent	weather	2	exp
179	88	The shirt was stained with	frying	blood	1	exp
460	228	The farmers won a blue ribbon for their	fat	pig	3	filler
26	16	He was caught stealing a	mountain	bike	0	exp
357	160	They stood on the bridge tossing stale bread to the	yellow	geese	2	exp
459	227	After collecting the pollen, the bee returned to	his	hive	3	filler
428	196	The professor always wore a suit and a	crazy	tie	3	filler
272	128	Every morning before school his mother laid out his clothes and packed his	delicious	bag	2	exp
311	146	The officials tried to evacuate everyone from the area before the	rapid	flood	0	exp
434	202	The swim team's performance improved after hiring a	new	coach	3	filler
242	114	He finally bought some poison to kill the	stray	cat	0	exp
359	162	The senator had once been a	municipal	judge	0	exp
135	71	Kim was relieved to see that ample food had been made for the	special	party	1	exp
91	50	She helped him put the finishing touches on the	haunted	painting	1	exp
216	103	Coming in, he took off his	smelly	shoes	3	exp
415	183	Just below the water, Gary could see the	shark's	fin	3	filler
75	43	We sprayed the yard to keep away the	wild	animals	0	exp
423	191	The gemstone in Emma's new ring was	green	emerald	3	filler
160	81	Rafael wants to preserve the national forest by guarding every	living	creature	0	exp
65	37	She was quite surprised that Bill didn't keep his	pocket	promise	1	exp
329	153	The car accident five years ago left an ugly scar on his	handsome	chest	2	exp
248	116	Joan fed her baby some warm	broccoli	soup	0	exp
17	12	He returned the hole punch to the	computer	desk	3	exp
471	239	Nobody there could undo such a	tight	knot	3	filler
284	132	He was grouchy because he was having trouble with his	fitful	dreams	2	exp
87	49	The county decided to tear down the gas station by the	major	school	2	exp
260	120	She was glad she had brought a good book with her since there was nothing to read at the	retail	store	0	exp
21	14	I had lost the ticket I needed to pick up my	washed	car	2	exp
439	207	The baseball player always used his lucky	catcher's	mitt	3	filler
463	231	The amusement park was popular for its	unique	rides	3	filler
465	233	To complete her painting set, Sara bought a	new	brush	3	filler
223	104	It was time to hang the new	framed	calendar	2	exp
31	19	No one at the reunion recognized Dan because he had grown a	long	beard	3	exp
418	186	The soccer player was praised for the	game-winning	goal	3	filler
173	86	The truck that Dave drove crashed into the	solid	tree	1	exp
7	5	It was a dream come true because Jane had always wanted to visit Europe with her	younger	boyfriend	1	exp
406	174	The strict Catholic family never misses	Sunday	mass	3	filler
70	39	She pulled her head out from under the faucet and reached for a	monkey	towel	1	exp
322	149	They had been wandering in circles because nobody had a	magnetic	compass	0	exp
50	29	They installed an extremely expensive alarm system to protect their	extended	family	0	exp
462	230	Chris said his dog had always been his	best	friend	3	filler
412	180	The little girl loved making art with	colored	pencils	3	filler
457	225	The stable was home to Rick's	favorite	horse	3	filler
167	84	Larry chose not to join the	terrorist	group	0	exp
446	214	Sherry always drank hot tea out of her	favorite	mug	3	filler
4	3	At night the old woman locked the	front	window	2	exp
326	151	He liked lemon and sugar in his	herbal	tea	3	exp
301	140	Jessie left without his toolbox or his	office	lunch	2	exp
152	80	When Drew arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent	dinner	room	2	exp
251	118	No one wanted to make any decisions until after the	corporate	meeting	3	exp
48	27	You could tell he had grown up in the South by his	racist	accent	1	exp
124	69	The applause could be heard throughout the	packed	hall	2	exp
164	82	I could hear the loud telephone ringing through the	concrete	wall	3	exp
180	89	There were brightly colored pictures on every	title	page	0	exp
234	109	Every day, rain or shine, the joggers ran up and down the	tall	hill	3	exp
139	74	He really wanted to go but decided to stay home to wait for the	important	bus	1	exp
286	133	She was feeling cold so she put on her	cashmere	sweater	3	exp
253	119	The white gull dove down and caught a	slimy	fish	1	exp
151	79	Dillinger once robbed that	antique	store	0	exp
348	158	Steve invited his girlfriend to a	pajama	dance	2	exp
450	218	Even the mother's singing couldn't calm the	screaming	baby	3	filler
224	105	Ken built his new house on a quiet	residential	lot	2	exp
201	100	Before she arrived he opened a bottle of wine and put on some soft	clean	clothes	0	exp
20	13	As a child he used to collect	postage	marbles	2	exp
267	124	The only food in the refrigerator was a moldy	aged	cheese	0	exp
233	108	His seat was next to the	glass	door	2	exp
468	236	Meredith laughed loudly when she heard the	funny	joke	3	filler
303	142	Quite predictably, the first thing the doctor asked for was the	pregnancy	test	0	exp
33	20	The last thing they were expecting on their wedding day was a raging	dark	storm	3	exp
95	53	She cleaned the dirt from her	blonde	shoes	1	exp
470	238	When guests visit, the host serves drinks in	crystal	glasses	3	filler
235	110	He grew corn to feed his	poor	family	0	exp
14	10	The fertilizer enriched the	green	grass	0	exp
144	78	The wealthy couple's three little girls enjoyed playing together in the	nearby	park	0	exp
265	123	Every spring they held the annual	onion	festival	3	exp
433	201	Eric was worried that his car didn't have	enough	gas	3	filler
342	157	She flipped through the stations in search of some	global	music	1	exp
165	83	The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his	bulging	scars	1	exp
1	1	He was so busy and overwhelmed that he had forgotten to respond to the	footer	note	0	exp
112	63	He bought her a pearl necklace for her	eighteenth	birthday	3	exp
323	150	It's raining, and I forgot my coat, hat, and	wide	boots	2	exp
458	226	After a hard workday, James liked drinking a	cold	beer	3	filler
195	96	The Democrats seemed to focus on defense while the Republicans talked about the	booming	economy	3	exp
178	87	Her cold drink was served with a slice of	homemade	pie	0	exp
455	223	The kids ran through the sprinklers on the	front	lawn	3	filler
435	203	One of the patient's symptoms was a	persistent	cough	3	filler
271	127	There were a lot of old boxes stored in the	unfinished	attic	1	exp
59	34	The squirrel stored some nuts in the	dead	tree	3	exp
55	32	I just had a new sound system installed in my	living	car	1	exp
45	25	Liz and Marie sat at the conference table and discussed the topic for the next	board	week	2	exp
263	122	She took the baby out when he started to cry and had to miss the rest of the	tea	movie	1	exp
109	61	The hinges were rusted shut, so he had to pry it open with a	steel	knife	2	exp
429	197	For his calligraphy, Jordan looked for a	special	pen	3	filler
451	219	The tracker followed the prints from the	horse's	hooves	3	filler
461	229	Jay's plants grew poorly but decayed into	fertile	soil	3	filler
93	52	She was glad she had accompanied her friend because she was enjoying the party except for the	loud	food	2	exp
110	62	We followed the path up the hill, and there, under the tree, was a	gray	cat	3	exp
442	210	Zeke's closest friends threw him a giant	birthday	party	3	filler
368	167	The bad boy was sent to his	intimidating	room	1	exp
315	147	The breeze lifted the	short	skirt	3	exp
143	77	They had to shampoo the new beige rug after the accident with the	mangy	dog	3	exp
106	60	Since the water was unsafe they decided to drink	sweet	tea	0	exp
351	159	They rested under a tree in the	dim	light	0	exp
474	242	Bill couldn't fix the car without having the	right	tools	3	filler
73	41	The person who caught the thief deserves our	loudest	respect	1	exp
225	106	Within minutes of arriving at the office, the detective spilled his thermos full of	hot	coffee	3	exp
52	31	The house at the end of the narrow road was built of	red	bricks	3	exp
419	187	On their doorstep was a flaming bag of	dog	poop	3	filler
473	241	The camper's food attracted a large	mother	bear	3	filler
