subject	segment	cloze	lab	item	n400	FullText	TargetWords
bris01	62	7	bris	73	-1.67	Carly wasn't sure if the Venus flytrap was classified as a plant or as a flower	flower
bris01	63	60	bris	75	7.63	The chemistry teacher explained to the class that water and salt were both compounds but that nitrogen was just an element	element
bris01	64	50	bris	64	-2.23	The guys didn't know what to call their band so Trent told everyone to come up with a name	name
bris01	65	7	bris	66	-2.96	Sandra decided that she would work for a cruise line for a year before starting university although she had never been on an island	island
bris01	66	0	bris	61	-3.58	Although the basketball team's defence was very strong they did not have so much of a coach	coach
bris01	67	97	bris	79	7.32	Bob claims to be from outer space but nobody believes that he is actually an alien	alien
bris01	68	7	bris	65	-9.96	Being from the mainland Karen never got used to the feeling of living on a ship	ship
bris01	69	0	bris	74	10.69	While Natasha was strolling through the colourful gardens she reached down and picked an animal	animal
bris01	70	90	bris	72	0.96	Marcy did not deal well with praise and had never really learned how to take a compliment	compliment
bris01	71	0	bris	62	15.03	Ever since Mr.Barnes had moved away Bobby's football team had been left without an offense	offense
bris01	72	90	bris	71	3.78	The waitress at the next table was trying to scribble everything down but it was obvious that she did not know how to take an order	order
bris02	1	0	bris	1	-1.25	The old wives' tale says that if you want to keep the doctor away then you should eat a carrot	carrot
bris02	2	0	bris	18	5.6	Without the floats and the marching bands it wasn't much of an election	election
bris02	3	0	bris	14	0.88	Betsy had no desire to enter the working world, so decided to stay at the university and remain an artist	artist
bris02	4	90	bris	20	3.76	Whenever Josh had too much to drink, he became belligerent and would try to start a fight	fight
bris02	5	3	bris	9	-11.34	Surrounded by mountains, Lola shouted across the valley and heard a bird	bird
bris02	6	80	bris	7	10.92	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an aeroplane	aeroplane
bris02	7	100	bris	3	7.55	It was difficult to understand the foreign professor because he had an accent	accent
bris02	8	93	bris	16	-0.75	James is an avid reader, so for his birthday his sister decided to give him a book	book
bris02	9	0	bris	17	-17.41	When the representative retired in the middle of his term, the state was forced to hold a parade	parade
bris02	10	0	bris	5	9.02	Dale was very sorry for what he had said to Bernadette and he knew that he owed her a cheque	cheque
bris02	11	100	bris	19	6.78	When her husband started staying late at the office every night, Joanne began to suspect that he was having an affair	affair
bris02	12	97	bris	8	-9.84	The day was breezy so the boy went outside to fly a kite	kite
bris02	13	3	bris	2	18.35	For the snowman's eyes the children used two pieces of coal, and for its nose they used an apple	apple
bris02	14	0	bris	6	-7.7	The bakery did not accept credit cards so Peter would have to write an apology	apology
bris02	15	93	bris	4	-11.83	Katie did not like to say words with the letter s because she spoke with a lisp	lisp
bris02	16	87	bris	11	1.03	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an octopus	octopus
bris02	17	100	bris	12	10.33	Marge hated baiting the hook, but she knew that it was the only way to catch a fish	fish
bris02	18	3	bris	10	-9.97	The tweeting in the treetops sounded like an echo	echo
bris02	19	90	bris	15	-11.59	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an education	education
bris02	20	93	bris	23	-1.98	When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an emergency	emergency
bris02	21	77	bris	31	-7.37	Sue had wanted to go to Tim's birthday party but she was still waiting for an invitation	invitation
bris02	22	90	bris	29	2.45	Margot had finally decided to buy a house in the suburbs after a year of renting a flat	flat
bris02	22	90	bris	29	2.45	Margot had finally decided to buy a house in the suburbs after a year of renting an apartment	apartment
bris02	23	97	bris	27	-6.68	No matter how safely you drive your car chances are someday you'll be involved in an accident	accident
bris02	24	3	bris	21	-19.66	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a pound	pound
bris02	25	0	bris	25	-1.03	Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use a hanger	hanger
bris02	26	0	bris	38	10.38	When the pipe broke in the bathroom Felicia looked through the phonebook to find an architect	architect
bris02	27	27	bris	28	-3.58	When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been a race	race
bris02	28	0	bris	30	9.08	Instead of recording a live album the band decided they would have more control if they recorded in an apartment	apartment
bris02	29	0	bris	37	0.9	Frank wanted to design a very modern house so he sought advice from a plumber	plumber
bris02	30	0	bris	33	2.48	The highlight of Jack's trip to India was when he got to ride a bicycle	bicycle
bris02	31	17	bris	22	9.16	Andrew complained that the only place he could afford was Poundland, after his grandmother gave him an allowance	allowance
bris02	32	30	bris	34	-1.62	You never forget how to ride an elephant	elephant
bris02	33	93	bris	24	-6.58	Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report a fire	fire
bris02	34	97	bris	39	-4.51	Because Bart did not clean his wound properly he ended up getting an infection	infection
bris02	35	80	bris	32	-10.28	When I called his house Nolan was not home but his mother said she could relay a message	message
bris02	36	93	bris	40	3.19	The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a tattoo	tattoo
bris02	37	97	bris	35	3.8	Because it frequently rains in London it's a good idea to always carry an umbrella	umbrella
bris02	38	0	bris	26	0.2	I wanted to put my coat in the closet but I could not find an iron	iron
bris02	39	77	bris	36	-10.06	As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a newspaper	newspaper
bris02	40	87	bris	52	1.6	Alicia's first client was a failure but her second was a success	success
bris02	41	90	bris	51	-1.5	After Joanne's first book was published she finally felt she could call herself an author	author
bris02	42	0	bris	58	-4.43	The doctors told Monica not to use her legs too much so soon after her surgery so she often used an escalator	escalator
bris02	43	100	bris	47	-18.24	Amelia did not want to go to the bar with her friends after seeing the movie so she made up an excuse	excuse
bris02	44	90	bris	44	-4.66	When Wendy went to pay for the birthday card the clerk pointed out that she had forgotten to pick up an envelope	envelope
bris02	45	7	bris	53	6.05	Lance had moved to Hollywood in hopes of becoming a director	director
bris02	46	87	bris	48	-5.7	Before little Gloria went to sleep she wanted to hear a story	story
bris02	47	90	bris	60	-1.24	Hannah wanted to live in a small town but her husband preferred to live closer to a city	city
bris02	48	93	bris	55	-1.09	Dana enjoyed singing in private but was scared to death at the thought of performing in front of an audience	audience
bris02	49	20	bris	46	5.7	There are always ways to improve your game whether you're an advanced tennis player or merely an amateur	amateur
bris02	50	0	bris	57	2.32	Damon preferred climbing stairs over going up a wheelchair	wheelchair
bris02	51	50	bris	49	-4.31	At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced a finger	finger
bris02	52	13	bris	42	18.02	Older children often have a harder time than younger children dealing with the loss of an adult	adult
bris02	53	30	bris	54	-9.43	From a young age Steven had an interest in filmmaking and had always dreamed of being an actor	actor
bris02	54	93	bris	56	-19.65	Carrie's father had always joked that two is company but three is a crowd	crowd
bris02	55	7	bris	41	0.46	In order to get into an R-rated movie children under 17 must be accompanied by a parent	parent
bris02	56	17	bris	45	-18.88	The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be a beginner	beginner
bris02	57	3	bris	50	-10.18	Marie wanted to sample a tiny bit of the sauce so she daintily dipped an onion	onion
bris02	58	93	bris	43	-6.17	Jeffrey mailed the letter without a stamp	stamp
bris02	59	73	bris	59	22.74	The pilot had to make an emergency landing in the middle of the desert because he was nowhere near an airport	airport
bris02	60	7	bris	66	1	Sandra decided that she would work for a cruise line for a year before starting university although she had never been on an island	island
bris02	61	60	bris	75	-4.55	The chemistry teacher explained to the class that water and salt were both compounds but that nitrogen was just an element	element
bris02	62	97	bris	79	25.68	Bob claims to be from outer space but nobody believes that he is actually an alien	alien
bris02	63	0	bris	69	12.32	The first time Timmy saw the Pacific he thought it was a lake but his brother laughed and explained to him that it was a mirage	mirage
bris02	64	0	bris	77	0.26	Violet was just learning how to make an omelette so her father began by showing her how to crack a window	window
bris02	65	83	bris	63	-2.67	The group had been brainstorming all day but they still didn't have an idea	idea
bris02	66	0	bris	62	3.04	Ever since Mr.Barnes had moved away Bobby's football team had been left without an offense	offense
bris02	67	27	bris	68	4.19	Every time they went for walks Sylvia's dog Rex would break into a run as soon as he spotted a cat	cat
bris02	68	0	bris	61	15.76	Although the basketball team's defence was very strong they did not have so much of a coach	coach
bris02	69	0	bris	74	-10.23	While Natasha was strolling through the colourful gardens she reached down and picked an animal	animal
bris02	70	50	bris	64	-17.52	The guys didn't know what to call their band so Trent told everyone to come up with a name	name
bris02	71	7	bris	73	3.25	Carly wasn't sure if the Venus flytrap was classified as a plant or as a flower	flower
bris02	72	7	bris	65	3.55	Being from the mainland Karen never got used to the feeling of living on a ship	ship
bris02	73	0	bris	78	-9.81	Because they were playing baseball so close to the house the children ended up shattering an egg	egg
bris02	74	90	bris	76	7.83	Orlando thought that glass was a solid but when he held it under the Bunsen burner it melted and turned into a liquid	liquid
bris02	75	87	bris	67	6.53	As Elizabeth climbed the ladder in the barn she heard a hooting sound coming from the rafters and looked up to see an owl	owl
bris02	76	3	bris	70	14.1	As the men stumbled across the desert they thought they saw an oasis on the horizon but it turned out to be an ocean	ocean
bris02	77	90	bris	71	-2.05	The waitress at the next table was trying to scribble everything down but it was obvious that she did not know how to take an order	order
bris02	78	97	bris	80	-13.02	With his khaki shorts and his loud Hawaiian shirt and the camera around his neck you could definitely tell that the man was a tourist	tourist
bris03	1	0	bris	20	-3.84	Whenever Josh had too much to drink, he became belligerent and would try to start an affair	affair
bris03	2	100	bris	2	6.59	For the snowman's eyes the children used two pieces of coal, and for its nose they used a carrot	carrot
bris03	3	20	bris	4	6.15	Katie did not like to say words with the letter s because she spoke with an accent	accent
bris03	4	80	bris	10	-6.22	The tweeting in the treetops sounded like a bird	bird
bris03	5	7	bris	3	-8.41	It was difficult to understand the foreign professor because he had a lisp	lisp
bris03	6	100	bris	6	22.96	The bakery did not accept credit cards so Peter would have to write a cheque	cheque
bris03	7	87	bris	18	5.26	Without the floats and the marching bands it wasn't much of a parade	parade
bris03	8	97	bris	13	-2.59	On a street corner in Paris Kim had her portrait painted by an artist	artist
bris03	9	0	bris	7	-0.71	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build a kite	kite
bris03	10	93	bris	5	0.61	Dale was very sorry for what he had said to Bernadette and he knew that he owed her an apology	apology
bris03	11	62	bris	17	15.01	When the representative retired in the middle of his term, the state was forced to hold an election	election
bris03	12	13	bris	12	-6.07	Marge hated baiting the hook, but she knew that it was the only way to catch an octopus	octopus
bris03	13	34	bris	8	-9.31	The day was breezy so the boy went outside to fly an aeroplane	aeroplane
bris03	14	0	bris	16	-9.28	James is an avid reader, so for his birthday his sister decided to give him an education	education
bris03	15	0	bris	19	6.72	When her husband started staying late at the office every night, Joanne began to suspect that he was having a fight	fight
bris03	16	0	bris	15	19.35	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive a book	book
bris03	17	7	bris	11	18.11	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was a fish	fish
bris03	18	97	bris	1	4.31	The old wives' tale says that if you want to keep the doctor away then you should eat an apple	apple
bris03	19	93	bris	9	-8.55	Surrounded by mountains, Lola shouted across the valley and heard an echo	echo
bris03	20	90	bris	14	13.45	Betsy had no desire to enter the working world, so decided to stay at the university and remain a student	student
bris03	21	97	bris	25	6.99	Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use an iron	iron
bris03	22	3	bris	32	-5	When I called his house Nolan was not home but his mother said she could relay an invitation	invitation
bris03	23	0	bris	35	6.16	Because it frequently rains in London it's a good idea to always carry a newspaper	newspaper
bris03	24	90	bris	30	2.8	Instead of recording a live album the band decided they would have more control if they recorded in a studio	studio
bris03	25	7	bris	36	-1.31	As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy an umbrella	umbrella
bris03	26	3	bris	23	13.66	When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of a fire	fire
bris03	27	77	bris	21	0.46	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received an allowance	allowance
bris03	28	67	bris	28	-1.59	When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been an accident	accident
bris03	29	0	bris	39	-10.65	Because Bart did not clean his wound properly he ended up getting a tattoo	tattoo
bris03	30	40	bris	24	2.58	Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report an emergency	emergency
bris03	31	0	bris	27	-5.27	No matter how safely you drive your car chances are someday you'll be involved in a race	race
bris03	32	53	bris	33	-6.08	The highlight of Jack's trip to India was when he got to ride an elephant	elephant
bris03	33	80	bris	37	34.91	Frank wanted to design a very modern house so he sought advice from an architect	architect
bris03	34	0	bris	31	-5.84	Sue had wanted to go to Tim's birthday party but she was still waiting for a message	message
bris03	35	90	bris	29	15.83	Margot had finally decided to buy a house in the suburbs after a year of renting a flat	flat
bris03	35	90	bris	29	15.83	Margot had finally decided to buy a house in the suburbs after a year of renting an apartment	apartment
bris03	36	53	bris	22	1.23	Andrew complained that the only place he could afford was Poundland, after his grandmother gave him a pound	pound
bris03	37	93	bris	38	-1.77	When the pipe broke in the bathroom Felicia looked through the phonebook to find a plumber	plumber
bris03	38	87	bris	26	19.67	I wanted to put my coat in the closet but I could not find a hanger	hanger
bris03	39	0	bris	40	-10.9	The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten an infection	infection
bris03	40	63	bris	46	-11.92	There are always ways to improve your game whether you're an advanced tennis player or merely a beginner	beginner
bris03	41	0	bris	48	1.79	Before little Gloria went to sleep she wanted to hear an excuse	excuse
bris03	42	67	bris	45	0.81	The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be an amateur	amateur
bris03	43	47	bris	44	4.61	When Wendy went to pay for the birthday card the clerk pointed out that she had forgotten to pick up a stamp	stamp
bris03	44	60	bris	55	-4.28	Dana enjoyed singing in private but was scared to death at the thought of performing in front of a crowd	crowd
bris03	45	0	bris	56	-6.07	Carrie's father had always joked that two is company but three is an audience	audience
bris03	46	40	bris	43	-7.95	Jeffrey mailed the letter without an envelope	envelope
bris03	47	7	bris	59	9.97	The pilot had to make an emergency landing in the middle of the desert because he was nowhere near a city	city
bris03	48	3	bris	51	2.91	After Joanne's first book was published she finally felt she could call herself a success	success
bris03	49	0	bris	52	5.71	Alicia's first client was a failure but her second was an author	author
bris03	50	73	bris	58	9.24	The doctors told Monica not to use her legs too much so soon after her surgery so she often used a wheelchair	wheelchair
bris03	51	77	bris	54	7.71	From a young age Steven had an interest in filmmaking and had always dreamed of being a director	director
bris03	52	37	bris	50	13.44	Marie wanted to sample a tiny bit of the sauce so she daintily dipped a finger	finger
bris03	53	37	bris	42	-2.93	Older children often have a harder time than younger children dealing with the loss of a parent	parent
bris03	54	27	bris	60	11.72	Hannah wanted to live in a small town but her husband preferred to live closer to an airport	airport
bris03	55	69	bris	57	-4.48	Damon preferred climbing stairs over going up an escalator	escalator
bris03	56	40	bris	49	0.78	At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced an onion	onion
bris03	57	0	bris	67	5.41	As Elizabeth climbed the ladder in the barn she heard a hooting sound coming from the rafters and looked up to see a cat	cat
bris03	58	10	bris	68	1.73	Every time they went for walks Sylvia's dog Rex would break into a run as soon as he spotted an owl	owl
bris03	59	0	bris	75	-4.17	The chemistry teacher explained to the class that water and salt were both compounds but that nitrogen was just a liquid	liquid
bris03	60	93	bris	69	6.58	The first time Timmy saw the Pacific he thought it was a lake but his brother laughed and explained to him that it was an ocean	ocean
bris03	61	97	bris	78	-1.99	Because they were playing baseball so close to the house the children ended up shattering a window	window
bris03	62	0	bris	71	-20.54	The waitress at the next table was trying to scribble everything down but it was obvious that she did not know how to take a compliment	compliment
bris03	63	93	bris	74	-9.88	While Natasha was strolling through the colourful gardens she reached down and picked a flower	flower
bris03	64	100	bris	77	6.49	Violet was just learning how to make an omelette so her father began by showing her how to crack an egg	egg
bris03	65	0	bris	72	-2.91	Marcy did not deal well with praise and had never really learned how to take an order	order
bris04	1	100	bris	2	11.03	For the snowman's eyes the children used two pieces of coal, and for its nose they used a carrot	carrot
bris04	2	20	bris	4	6.6	Katie did not like to say words with the letter s because she spoke with an accent	accent
bris04	3	93	bris	5	6.38	Dale was very sorry for what he had said to Bernadette and he knew that he owed her an apology	apology
bris04	4	0	bris	15	11.46	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive a book	book
bris04	5	80	bris	10	7.81	The tweeting in the treetops sounded like a bird	bird
bris04	6	7	bris	11	-6.28	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was a fish	fish
bris04	7	34	bris	8	0.3	The day was breezy so the boy went outside to fly an aeroplane	aeroplane
bris04	8	0	bris	16	9.8	James is an avid reader, so for his birthday his sister decided to give him an education	education
bris04	9	90	bris	14	21.45	Betsy had no desire to enter the working world, so decided to stay at the university and remain a student	student
bris04	10	100	bris	6	13.58	The bakery did not accept credit cards so Peter would have to write a cheque	cheque
bris04	11	0	bris	20	0.66	Whenever Josh had too much to drink, he became belligerent and would try to start an affair	affair
bris04	12	7	bris	3	3.16	It was difficult to understand the foreign professor because he had a lisp	lisp
bris04	13	97	bris	1	11.28	The old wives' tale says that if you want to keep the doctor away then you should eat an apple	apple
bris04	14	87	bris	18	-3.78	Without the floats and the marching bands it wasn't much of a parade	parade
bris04	15	13	bris	12	14.28	Marge hated baiting the hook, but she knew that it was the only way to catch an octopus	octopus
bris04	16	97	bris	13	9.8	On a street corner in Paris Kim had her portrait painted by an artist	artist
bris04	17	62	bris	17	-5.41	When the representative retired in the middle of his term, the state was forced to hold an election	election
bris04	18	93	bris	9	16.93	Surrounded by mountains, Lola shouted across the valley and heard an echo	echo
bris04	19	0	bris	19	-0.69	When her husband started staying late at the office every night, Joanne began to suspect that he was having a fight	fight
bris04	20	0	bris	7	4.27	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build a kite	kite
bris04	21	97	bris	25	-0.26	Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use an iron	iron
bris04	22	0	bris	40	16.98	The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten an infection	infection
bris04	23	90	bris	29	15.63	Margot had finally decided to buy a house in the suburbs after a year of renting a flat	flat
bris04	23	90	bris	29	15.63	Margot had finally decided to buy a house in the suburbs after a year of renting an apartment	apartment
bris04	24	0	bris	27	-6.8	No matter how safely you drive your car chances are someday you'll be involved in a race	race
bris04	25	90	bris	30	4.65	Instead of recording a live album the band decided they would have more control if they recorded in a studio	studio
bris04	26	67	bris	28	13.59	When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been an accident	accident
bris04	27	97	bris	34	6.38	You never forget how to ride a bicycle	bicycle
bris04	28	93	bris	38	8.59	When the pipe broke in the bathroom Felicia looked through the phonebook to find a plumber	plumber
bris04	29	7	bris	36	-6.31	As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy an umbrella	umbrella
bris04	30	40	bris	24	19.93	Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report an emergency	emergency
bris04	31	0	bris	39	8.71	Because Bart did not clean his wound properly he ended up getting a tattoo	tattoo
bris04	32	0	bris	31	10.1	Sue had wanted to go to Tim's birthday party but she was still waiting for a message	message
bris04	33	87	bris	26	13.67	I wanted to put my coat in the closet but I could not find a hanger	hanger
bris04	34	53	bris	33	6.99	The highlight of Jack's trip to India was when he got to ride an elephant	elephant
bris04	35	80	bris	37	-0.94	Frank wanted to design a very modern house so he sought advice from an architect	architect
bris04	36	3	bris	32	30	When I called his house Nolan was not home but his mother said she could relay an invitation	invitation
bris04	37	53	bris	22	-11.54	Andrew complained that the only place he could afford was Poundland, after his grandmother gave him a pound	pound
bris04	38	3	bris	23	7.89	When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of a fire	fire
bris04	39	0	bris	35	16.7	Because it frequently rains in London it's a good idea to always carry a newspaper	newspaper
bris04	40	77	bris	21	23.61	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received an allowance	allowance
bris04	41	0	bris	52	0.74	Alicia's first client was a failure but her second was an author	author
bris04	42	60	bris	55	7.07	Dana enjoyed singing in private but was scared to death at the thought of performing in front of a crowd	crowd
bris04	43	0	bris	48	5.63	Before little Gloria went to sleep she wanted to hear an excuse	excuse
bris04	44	77	bris	54	16.57	From a young age Steven had an interest in filmmaking and had always dreamed of being a director	director
bris04	45	93	bris	53	-8.66	Lance had moved to Hollywood in hopes of becoming an actor	actor
bris04	46	73	bris	58	13.89	The doctors told Monica not to use her legs too much so soon after her surgery so she often used a wheelchair	wheelchair
bris04	47	27	bris	60	17.01	Hannah wanted to live in a small town but her husband preferred to live closer to an airport	airport
bris04	48	13	bris	47	4.99	Amelia did not want to go to the bar with her friends after seeing the movie so she made up a story	story
bris04	49	63	bris	46	-11.67	There are always ways to improve your game whether you're an advanced tennis player or merely a beginner	beginner
bris04	50	37	bris	42	-20.77	Older children often have a harder time than younger children dealing with the loss of a parent	parent
bris04	51	40	bris	49	-6.38	At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced an onion	onion
bris04	52	69	bris	57	28.73	Damon preferred climbing stairs over going up an escalator	escalator
bris04	53	37	bris	50	3.31	Marie wanted to sample a tiny bit of the sauce so she daintily dipped a finger	finger
bris04	54	67	bris	45	1.47	The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be an amateur	amateur
bris04	55	0	bris	56	0.99	Carrie's father had always joked that two is company but three is an audience	audience
bris04	56	100	bris	41	6.84	In order to get into an R-rated movie children under 17 must be accompanied by an adult	adult
bris04	57	40	bris	43	-15.95	Jeffrey mailed the letter without an envelope	envelope
