Experiment	Participant	Item	Electrode	Condition	Amplitude	Stim
E1	1-2	110	P4	control	-8.0446	Alyssa assisted the magician at the birthday party. She pretended to be amazed when her rabbit
E1	1-2	110	CP4	control	-11.8171	Alyssa assisted the magician at the birthday party. She pretended to be amazed when her rabbit
E1	1-2	110	C4	control	-12.9464	Alyssa assisted the magician at the birthday party. She pretended to be amazed when her rabbit
E1	1-2	110	P3	control	-14.8917	Alyssa assisted the magician at the birthday party. She pretended to be amazed when her rabbit
E1	1-2	110	CP3	control	-20.1151	Alyssa assisted the magician at the birthday party. She pretended to be amazed when her rabbit
E1	1-2	110	C3	control	-21.5229	Alyssa assisted the magician at the birthday party. She pretended to be amazed when her rabbit
E1	1-2	131	P4	prorel	-9.80877	Peggy raced the soccer player to the goal. She was overjoyed that his kick
E1	1-2	131	CP4	prorel	-13.4435	Peggy raced the soccer player to the goal. She was overjoyed that his kick
E1	1-2	131	C4	prorel	-15.2829	Peggy raced the soccer player to the goal. She was overjoyed that his kick
E1	1-2	131	P3	prorel	3.62321	Peggy raced the soccer player to the goal. She was overjoyed that his kick
E1	1-2	131	CP3	prorel	1.51342	Peggy raced the soccer player to the goal. She was overjoyed that his kick
E1	1-2	131	C3	prorel	-2.77904	Peggy raced the soccer player to the goal. She was overjoyed that his kick
E1	1-2	87	P4	nprel	6.16446	Molly deliberated with the warden after the escape. She hoped that the warden's inmate
E1	1-2	87	CP4	nprel	5.98527	Molly deliberated with the warden after the escape. She hoped that the warden's inmate
E1	1-2	87	C4	nprel	5.42279	Molly deliberated with the warden after the escape. She hoped that the warden's inmate
E1	1-2	87	P3	nprel	1.94626	Molly deliberated with the warden after the escape. She hoped that the warden's inmate
E1	1-2	87	CP3	nprel	-2.27337	Molly deliberated with the warden after the escape. She hoped that the warden's inmate
E1	1-2	87	C3	nprel	-6.91724	Molly deliberated with the warden after the escape. She hoped that the warden's inmate
E1	1-2	54	P4	npunrel	19.3092	Maureen stood with the druid in the moonlight. She believed that the druid's creek
E1	1-2	54	CP4	npunrel	11.7003	Maureen stood with the druid in the moonlight. She believed that the druid's creek
E1	1-2	54	C4	npunrel	5.36142	Maureen stood with the druid in the moonlight. She believed that the druid's creek
E1	1-2	54	P3	npunrel	19.9474	Maureen stood with the druid in the moonlight. She believed that the druid's creek
E1	1-2	54	CP3	npunrel	16.3544	Maureen stood with the druid in the moonlight. She believed that the druid's creek
E1	1-2	54	C3	npunrel	8.15262	Maureen stood with the druid in the moonlight. She believed that the druid's creek
E1	1-2	89	P4	npunrel	-2.53344	Marilyn watched the swimmer lose the meet. She was upset because the swimmer's twitch
E1	1-2	89	CP4	npunrel	0.265141	Marilyn watched the swimmer lose the meet. She was upset because the swimmer's twitch
E1	1-2	89	C4	npunrel	-3.70946	Marilyn watched the swimmer lose the meet. She was upset because the swimmer's twitch
E1	1-2	89	P3	npunrel	-11.2332	Marilyn watched the swimmer lose the meet. She was upset because the swimmer's twitch
E1	1-2	89	CP3	npunrel	-13.5186	Marilyn watched the swimmer lose the meet. She was upset because the swimmer's twitch
E1	1-2	89	C3	npunrel	-17.4403	Marilyn watched the swimmer lose the meet. She was upset because the swimmer's twitch
E1	1-2	105	P4	control	-5.5516	Nancy chatted with the zookeeper before feeding time. She wondered if her animals
E1	1-2	105	CP4	control	-3.17744	Nancy chatted with the zookeeper before feeding time. She wondered if her animals
E1	1-2	105	C4	control	-4.09002	Nancy chatted with the zookeeper before feeding time. She wondered if her animals
E1	1-2	105	P3	control	-5.50886	Nancy chatted with the zookeeper before feeding time. She wondered if her animals
E1	1-2	105	CP3	control	-2.74692	Nancy chatted with the zookeeper before feeding time. She wondered if her animals
E1	1-2	105	C3	control	-3.98839	Nancy chatted with the zookeeper before feeding time. She wondered if her animals
E1	1-2	22	P4	nprel	-8.06652	Alicia encouraged the bearded manager to take a risk. She was confident that the manager's store
E1	1-2	22	CP4	nprel	-16.345	Alicia encouraged the bearded manager to take a risk. She was confident that the manager's store
E1	1-2	22	C4	nprel	-21.6828	Alicia encouraged the bearded manager to take a risk. She was confident that the manager's store
E1	1-2	22	P3	nprel	-10.0331	Alicia encouraged the bearded manager to take a risk. She was confident that the manager's store
E1	1-2	22	CP3	nprel	-11.1182	Alicia encouraged the bearded manager to take a risk. She was confident that the manager's store
E1	1-2	22	C3	nprel	-10.9535	Alicia encouraged the bearded manager to take a risk. She was confident that the manager's store
E1	1-2	48	P4	prounrel	1.12741	Allison interviewed the congressman after the bill was passed. She wondered whether his approach
E1	1-2	48	CP4	prounrel	0.521223	Allison interviewed the congressman after the bill was passed. She wondered whether his approach
E1	1-2	48	C4	prounrel	-1.32814	Allison interviewed the congressman after the bill was passed. She wondered whether his approach
E1	1-2	48	P3	prounrel	10.0733	Allison interviewed the congressman after the bill was passed. She wondered whether his approach
E1	1-2	48	CP3	prounrel	5.11309	Allison interviewed the congressman after the bill was passed. She wondered whether his approach
E1	1-2	48	C3	prounrel	0.119328	Allison interviewed the congressman after the bill was passed. She wondered whether his approach
E1	1-2	1	P4	prorel	9.41072	Susanna consulted the farmer before the harvest. She was sad to hear that the his crops
E1	1-2	1	CP4	prorel	7.22877	Susanna consulted the farmer before the harvest. She was sad to hear that the his crops
E1	1-2	1	C4	prorel	6.31198	Susanna consulted the farmer before the harvest. She was sad to hear that the his crops
E1	1-2	1	P3	prorel	13.5801	Susanna consulted the farmer before the harvest. She was sad to hear that the his crops
E1	1-2	1	CP3	prorel	9.67552	Susanna consulted the farmer before the harvest. She was sad to hear that the his crops
E1	1-2	1	C3	prorel	12.3093	Susanna consulted the farmer before the harvest. She was sad to hear that the his crops
E1	1-2	70	P4	control	-11.5228	Caleb debated with the author who wore the short dress over the new project. He felt that his novel
E1	1-2	70	CP4	control	-16.6327	Caleb debated with the author who wore the short dress over the new project. He felt that his novel
E1	1-2	70	C4	control	-17.3444	Caleb debated with the author who wore the short dress over the new project. He felt that his novel
E1	1-2	70	P3	control	3.08044	Caleb debated with the author who wore the short dress over the new project. He felt that his novel
E1	1-2	70	CP3	control	1.03207	Caleb debated with the author who wore the short dress over the new project. He felt that his novel
E1	1-2	70	C3	control	-0.920566	Caleb debated with the author who wore the short dress over the new project. He felt that his novel
E1	1-2	139	P4	npunrel	8.95607	Candace helped the sheriff prepare for the stakeout. She brought the sheriff's whistle
E1	1-2	139	CP4	npunrel	6.09939	Candace helped the sheriff prepare for the stakeout. She brought the sheriff's whistle
E1	1-2	139	C4	npunrel	4.56089	Candace helped the sheriff prepare for the stakeout. She brought the sheriff's whistle
E1	1-2	139	P3	npunrel	17.8663	Candace helped the sheriff prepare for the stakeout. She brought the sheriff's whistle
E1	1-2	139	CP3	npunrel	16.6348	Candace helped the sheriff prepare for the stakeout. She brought the sheriff's whistle
E1	1-2	139	C3	npunrel	13.184	Candace helped the sheriff prepare for the stakeout. She brought the sheriff's whistle
E1	1-2	113	P4	prounrel	0.819997	Sonia encouraged the ringmaster who was going on tour. She was confident that his events
E1	1-2	113	CP4	prounrel	2.61427	Sonia encouraged the ringmaster who was going on tour. She was confident that his events
E1	1-2	113	C4	prounrel	5.43702	Sonia encouraged the ringmaster who was going on tour. She was confident that his events
E1	1-2	113	P3	prounrel	6.57196	Sonia encouraged the ringmaster who was going on tour. She was confident that his events
E1	1-2	113	CP3	prounrel	15.0571	Sonia encouraged the ringmaster who was going on tour. She was confident that his events
E1	1-2	113	C3	prounrel	13.1835	Sonia encouraged the ringmaster who was going on tour. She was confident that his events
E1	1-2	124	P4	npunrel	11.2058	Fern lounged with the bearded artisan in the market. She liked that the artisan's riddles
E1	1-2	124	CP4	npunrel	11.7408	Fern lounged with the bearded artisan in the market. She liked that the artisan's riddles
E1	1-2	124	C4	npunrel	13.0848	Fern lounged with the bearded artisan in the market. She liked that the artisan's riddles
E1	1-2	124	P3	npunrel	3.31106	Fern lounged with the bearded artisan in the market. She liked that the artisan's riddles
E1	1-2	124	CP3	npunrel	5.32687	Fern lounged with the bearded artisan in the market. She liked that the artisan's riddles
E1	1-2	124	C3	npunrel	4.21662	Fern lounged with the bearded artisan in the market. She liked that the artisan's riddles
E1	1-2	69	P4	npunrel	-11.0852	Erika assisted the dentist during regular check-ups. She kept the dentist's jars
E1	1-2	69	CP4	npunrel	-6.78063	Erika assisted the dentist during regular check-ups. She kept the dentist's jars
E1	1-2	69	C4	npunrel	-3.4996	Erika assisted the dentist during regular check-ups. She kept the dentist's jars
E1	1-2	69	P3	npunrel	-5.81731	Erika assisted the dentist during regular check-ups. She kept the dentist's jars
E1	1-2	69	CP3	npunrel	-2.30098	Erika assisted the dentist during regular check-ups. She kept the dentist's jars
E1	1-2	69	C3	npunrel	0.452689	Erika assisted the dentist during regular check-ups. She kept the dentist's jars
E1	1-2	12	P4	nprel	6.65014	Olivia adored the muscular runner from the competition. She blogged about the runner's marathon
E1	1-2	12	CP4	nprel	5.40773	Olivia adored the muscular runner from the competition. She blogged about the runner's marathon
E1	1-2	12	C4	nprel	3.56468	Olivia adored the muscular runner from the competition. She blogged about the runner's marathon
E1	1-2	12	P3	nprel	-2.26447	Olivia adored the muscular runner from the competition. She blogged about the runner's marathon
E1	1-2	12	CP3	nprel	-4.27095	Olivia adored the muscular runner from the competition. She blogged about the runner's marathon
E1	1-2	12	C3	nprel	-4.89527	Olivia adored the muscular runner from the competition. She blogged about the runner's marathon
E1	1-2	60	P4	control	-8.76289	Martha taught with the reverend at the retreat. She hoped that her sermon
E1	1-2	60	CP4	control	-6.87481	Martha taught with the reverend at the retreat. She hoped that her sermon
E1	1-2	60	C4	control	-5.84569	Martha taught with the reverend at the retreat. She hoped that her sermon
E1	1-2	60	P3	control	-3.98646	Martha taught with the reverend at the retreat. She hoped that her sermon
E1	1-2	60	CP3	control	2.06121	Martha taught with the reverend at the retreat. She hoped that her sermon
E1	1-2	60	C3	control	1.6659	Martha taught with the reverend at the retreat. She hoped that her sermon
E1	1-2	100	P4	control	6.84415	Carla thanked the minister for all the guidance and support. She said that her church
E1	1-2	100	CP4	control	8.27821	Carla thanked the minister for all the guidance and support. She said that her church
E1	1-2	100	C4	control	7.52103	Carla thanked the minister for all the guidance and support. She said that her church
E1	1-2	100	P3	control	3.03509	Carla thanked the minister for all the guidance and support. She said that her church
E1	1-2	100	CP3	control	2.58803	Carla thanked the minister for all the guidance and support. She said that her church
E1	1-2	100	C3	control	3.17101	Carla thanked the minister for all the guidance and support. She said that her church
E1	1-2	93	P4	prounrel	13.0378	Matthew annoyed the writer who wore red lipstick. He obsessed over her eyes
E1	1-2	93	CP4	prounrel	12.6761	Matthew annoyed the writer who wore red lipstick. He obsessed over her eyes
E1	1-2	93	C4	prounrel	11.3757	Matthew annoyed the writer who wore red lipstick. He obsessed over her eyes
E1	1-2	93	P3	prounrel	11.5074	Matthew annoyed the writer who wore red lipstick. He obsessed over her eyes
E1	1-2	93	CP3	prounrel	14.3109	Matthew annoyed the writer who wore red lipstick. He obsessed over her eyes
E1	1-2	93	C3	prounrel	14.7014	Matthew annoyed the writer who wore red lipstick. He obsessed over her eyes
E1	1-2	31	P4	prorel	12.4766	Sabrina sulked with the bellboy in the main office. She was upset that his cart
E1	1-2	31	CP4	prorel	7.08079	Sabrina sulked with the bellboy in the main office. She was upset that his cart
E1	1-2	31	C4	prorel	5.55041	Sabrina sulked with the bellboy in the main office. She was upset that his cart
E1	1-2	31	P3	prorel	14.1927	Sabrina sulked with the bellboy in the main office. She was upset that his cart
E1	1-2	31	CP3	prorel	9.01163	Sabrina sulked with the bellboy in the main office. She was upset that his cart
E1	1-2	31	C3	prorel	5.8736	Sabrina sulked with the bellboy in the main office. She was upset that his cart
E1	1-2	116	P4	prorel	18.8599	Emma rehearsed with the musician on the stage. She was concerned that his trumpet
E1	1-2	116	CP4	prorel	14.3652	Emma rehearsed with the musician on the stage. She was concerned that his trumpet
E1	1-2	116	C4	prorel	16.1336	Emma rehearsed with the musician on the stage. She was concerned that his trumpet
E1	1-2	116	P3	prorel	18.7961	Emma rehearsed with the musician on the stage. She was concerned that his trumpet
E1	1-2	116	CP3	prorel	14.0956	Emma rehearsed with the musician on the stage. She was concerned that his trumpet
E1	1-2	116	C3	prorel	13.4817	Emma rehearsed with the musician on the stage. She was concerned that his trumpet
E1	1-2	141	P4	prorel	1.98922	Nicole stopped the president in the hallway before the broadcast. She feared that his administration
E1	1-2	141	CP4	prorel	1.37927	Nicole stopped the president in the hallway before the broadcast. She feared that his administration
E1	1-2	141	C4	prorel	1.26359	Nicole stopped the president in the hallway before the broadcast. She feared that his administration
E1	1-2	141	P3	prorel	0.196755	Nicole stopped the president in the hallway before the broadcast. She feared that his administration
E1	1-2	141	CP3	prorel	2.44008	Nicole stopped the president in the hallway before the broadcast. She feared that his administration
E1	1-2	141	C3	prorel	2.6345	Nicole stopped the president in the hallway before the broadcast. She feared that his administration
E1	1-2	90	P4	control	13.5727	Robert consulted the psychic before making the decision. He felt uneasy after hearing his prediction
E1	1-2	90	CP4	control	13.5791	Robert consulted the psychic before making the decision. He felt uneasy after hearing his prediction
E1	1-2	90	C4	control	14.8535	Robert consulted the psychic before making the decision. He felt uneasy after hearing his prediction
E1	1-2	90	P3	control	13.2533	Robert consulted the psychic before making the decision. He felt uneasy after hearing his prediction
E1	1-2	90	CP3	control	8.11719	Robert consulted the psychic before making the decision. He felt uneasy after hearing his prediction
E1	1-2	90	C3	control	6.91171	Robert consulted the psychic before making the decision. He felt uneasy after hearing his prediction
E1	1-2	61	P4	prorel	5.4619	Ella hitchhiked with the vagrant for the biographic documentary. She was sick of his smell
E1	1-2	61	CP4	prorel	-0.429722	Ella hitchhiked with the vagrant for the biographic documentary. She was sick of his smell
E1	1-2	61	C4	prorel	1.33466	Ella hitchhiked with the vagrant for the biographic documentary. She was sick of his smell
E1	1-2	61	P3	prorel	23.4632	Ella hitchhiked with the vagrant for the biographic documentary. She was sick of his smell
E1	1-2	61	CP3	prorel	17.8195	Ella hitchhiked with the vagrant for the biographic documentary. She was sick of his smell
E1	1-2	61	C3	prorel	13.794	Ella hitchhiked with the vagrant for the biographic documentary. She was sick of his smell
E1	1-2	43	P4	prounrel	13.7962	Madeline chased the hunter through the forest. She could hear his cough
E1	1-2	43	CP4	prounrel	14.4728	Madeline chased the hunter through the forest. She could hear his cough
E1	1-2	43	C4	prounrel	13.2598	Madeline chased the hunter through the forest. She could hear his cough
E1	1-2	43	P3	prounrel	13.9419	Madeline chased the hunter through the forest. She could hear his cough
E1	1-2	43	CP3	prounrel	14.2515	Madeline chased the hunter through the forest. She could hear his cough
E1	1-2	43	C3	prounrel	13.2325	Madeline chased the hunter through the forest. She could hear his cough
E1	1-2	68	P4	prounrel	20.4128	Roxanne avoided the muscular bartender who worked on Saturdays. She said that his views
E1	1-2	68	CP4	prounrel	22.7927	Roxanne avoided the muscular bartender who worked on Saturdays. She said that his views
E1	1-2	68	C4	prounrel	22.8944	Roxanne avoided the muscular bartender who worked on Saturdays. She said that his views
E1	1-2	68	P3	prounrel	16.5764	Roxanne avoided the muscular bartender who worked on Saturdays. She said that his views
E1	1-2	68	CP3	prounrel	21.4302	Roxanne avoided the muscular bartender who worked on Saturdays. She said that his views
E1	1-2	68	C3	prounrel	20.3846	Roxanne avoided the muscular bartender who worked on Saturdays. She said that his views
E1	1-2	81	P4	prorel	-2.9936	Cynthia filmed the terrorist in the tent. She expected that his hostage
E1	1-2	81	CP4	prorel	-7.68629	Cynthia filmed the terrorist in the tent. She expected that his hostage
E1	1-2	81	C4	prorel	-7.69376	Cynthia filmed the terrorist in the tent. She expected that his hostage
E1	1-2	81	P3	prorel	-7.91143	Cynthia filmed the terrorist in the tent. She expected that his hostage
E1	1-2	81	CP3	prorel	-13.3027	Cynthia filmed the terrorist in the tent. She expected that his hostage
E1	1-2	81	C3	prorel	-15.4647	Cynthia filmed the terrorist in the tent. She expected that his hostage
E1	1-2	143	P4	prounrel	9.84622	Penelope relaxed with the screenwriter on the porch. She commented that his cabin
E1	1-2	143	CP4	prounrel	5.48092	Penelope relaxed with the screenwriter on the porch. She commented that his cabin
E1	1-2	143	C4	prounrel	3.08429	Penelope relaxed with the screenwriter on the porch. She commented that his cabin
E1	1-2	143	P3	prounrel	4.13556	Penelope relaxed with the screenwriter on the porch. She commented that his cabin
E1	1-2	143	CP3	prounrel	2.37484	Penelope relaxed with the screenwriter on the porch. She commented that his cabin
E1	1-2	143	C3	prounrel	4.48162	Penelope relaxed with the screenwriter on the porch. She commented that his cabin
E1	1-2	138	P4	prounrel	-5.23219	Phoebe awarded the admiral after the battle. She was pleased that his espionage
E1	1-2	138	CP4	prounrel	-8.18564	Phoebe awarded the admiral after the battle. She was pleased that his espionage
E1	1-2	138	C4	prounrel	-5.48298	Phoebe awarded the admiral after the battle. She was pleased that his espionage
E1	1-2	138	P3	prounrel	-4.2371	Phoebe awarded the admiral after the battle. She was pleased that his espionage
E1	1-2	138	CP3	prounrel	-3.11648	Phoebe awarded the admiral after the battle. She was pleased that his espionage
E1	1-2	138	C3	prounrel	0.800646	Phoebe awarded the admiral after the battle. She was pleased that his espionage
E1	1-2	59	P4	npunrel	-4.04397	Lillian approached the wizard ready for battle. She was aware that the wizard's lies
E1	1-2	59	CP4	npunrel	-5.84515	Lillian approached the wizard ready for battle. She was aware that the wizard's lies
E1	1-2	59	C4	npunrel	-8.00782	Lillian approached the wizard ready for battle. She was aware that the wizard's lies
E1	1-2	59	P3	npunrel	-7.46866	Lillian approached the wizard ready for battle. She was aware that the wizard's lies
E1	1-2	59	CP3	npunrel	-13.1503	Lillian approached the wizard ready for battle. She was aware that the wizard's lies
E1	1-2	59	C3	npunrel	-13.2888	Lillian approached the wizard ready for battle. She was aware that the wizard's lies
E1	1-2	118	P4	prounrel	-1.6245	Sandra flew with the pilot in the cockpit. She sighed unhappily because his hostility
E1	1-2	118	CP4	prounrel	-9.04873	Sandra flew with the pilot in the cockpit. She sighed unhappily because his hostility
E1	1-2	118	C4	prounrel	-12.5133	Sandra flew with the pilot in the cockpit. She sighed unhappily because his hostility
E1	1-2	118	P3	prounrel	-0.463311	Sandra flew with the pilot in the cockpit. She sighed unhappily because his hostility
E1	1-2	118	CP3	prounrel	-9.94552	Sandra flew with the pilot in the cockpit. She sighed unhappily because his hostility
E1	1-2	118	C3	prounrel	-14.9103	Sandra flew with the pilot in the cockpit. She sighed unhappily because his hostility
E1	1-2	13	P4	prounrel	-0.0581568	Scarlett commiserated with the producer in the emergency room. She had just learned that his arm
E1	1-2	13	CP4	prounrel	-3.43561	Scarlett commiserated with the producer in the emergency room. She had just learned that his arm
E1	1-2	13	C4	prounrel	-8.86523	Scarlett commiserated with the producer in the emergency room. She had just learned that his arm
E1	1-2	13	P3	prounrel	-6.70385	Scarlett commiserated with the producer in the emergency room. She had just learned that his arm
E1	1-2	13	CP3	prounrel	-12.1225	Scarlett commiserated with the producer in the emergency room. She had just learned that his arm
E1	1-2	13	C3	prounrel	-17.7899	Scarlett commiserated with the producer in the emergency room. She had just learned that his arm
E1	1-2	17	P4	nprel	-0.443521	Megan schemed with the champion before the all-star tournament. However, she was afraid that the champion's medal
E1	1-2	17	CP4	nprel	-0.243856	Megan schemed with the champion before the all-star tournament. However, she was afraid that the champion's medal
E1	1-2	17	C4	nprel	-3.68014	Megan schemed with the champion before the all-star tournament. However, she was afraid that the champion's medal
E1	1-2	17	P3	nprel	-13.4068	Megan schemed with the champion before the all-star tournament. However, she was afraid that the champion's medal
E1	1-2	17	CP3	nprel	-13.7244	Megan schemed with the champion before the all-star tournament. However, she was afraid that the champion's medal
E1	1-2	17	C3	nprel	-12.5564	Megan schemed with the champion before the all-star tournament. However, she was afraid that the champion's medal
E1	1-2	115	P4	control	7.0039	Camilla competed with the salesman who targeted the same neighborhood. She wondered if her product
E1	1-2	115	CP4	control	1.58427	Camilla competed with the salesman who targeted the same neighborhood. She wondered if her product
E1	1-2	115	C4	control	-0.32396	Camilla competed with the salesman who targeted the same neighborhood. She wondered if her product
E1	1-2	115	P3	control	6.69904	Camilla competed with the salesman who targeted the same neighborhood. She wondered if her product
E1	1-2	115	CP3	control	10.3992	Camilla competed with the salesman who targeted the same neighborhood. She wondered if her product
E1	1-2	115	C3	control	6.50685	Camilla competed with the salesman who targeted the same neighborhood. She wondered if her product
E1	1-2	150	P4	control	-1.79426	Lindsey fired the banker after the scandal. She believed that her investment
E1	1-2	150	CP4	control	3.68008	Lindsey fired the banker after the scandal. She believed that her investment
E1	1-2	150	C4	control	-0.379395	Lindsey fired the banker after the scandal. She believed that her investment
E1	1-2	150	P3	control	-8.82898	Lindsey fired the banker after the scandal. She believed that her investment
E1	1-2	150	CP3	control	-7.17857	Lindsey fired the banker after the scandal. She believed that her investment
E1	1-2	150	C3	control	-5.81656	Lindsey fired the banker after the scandal. She believed that her investment
E1	1-2	76	P4	prorel	0.10907	Amelia sat with the critic in the back row. She hoped that his opinion
E1	1-2	76	CP4	prorel	2.84809	Amelia sat with the critic in the back row. She hoped that his opinion
E1	1-2	76	C4	prorel	2.40611	Amelia sat with the critic in the back row. She hoped that his opinion
E1	1-2	76	P3	prorel	4.8807	Amelia sat with the critic in the back row. She hoped that his opinion
E1	1-2	76	CP3	prorel	2.10617	Amelia sat with the critic in the back row. She hoped that his opinion
E1	1-2	76	C3	prorel	0.994622	Amelia sat with the critic in the back row. She hoped that his opinion
E1	1-2	28	P4	prounrel	-21.6203	Brittany coached the goalie throughout the season. She was upset when his knee
E1	1-2	28	CP4	prounrel	-21.3108	Brittany coached the goalie throughout the season. She was upset when his knee
E1	1-2	28	C4	prounrel	-20.711	Brittany coached the goalie throughout the season. She was upset when his knee
E1	1-2	28	P3	prounrel	-19.1751	Brittany coached the goalie throughout the season. She was upset when his knee
E1	1-2	28	CP3	prounrel	-18.5732	Brittany coached the goalie throughout the season. She was upset when his knee
E1	1-2	28	C3	prounrel	-14.5475	Brittany coached the goalie throughout the season. She was upset when his knee
E1	1-2	73	P4	prounrel	-3.48791	Chloe interrupted the jailor during the staff meeting. She brought up that his staring
E1	1-2	73	CP4	prounrel	-0.270719	Chloe interrupted the jailor during the staff meeting. She brought up that his staring
E1	1-2	73	C4	prounrel	-1.95602	Chloe interrupted the jailor during the staff meeting. She brought up that his staring
E1	1-2	73	P3	prounrel	-2.19193	Chloe interrupted the jailor during the staff meeting. She brought up that his staring
E1	1-2	73	CP3	prounrel	-4.87109	Chloe interrupted the jailor during the staff meeting. She brought up that his staring
E1	1-2	73	C3	prounrel	-4.51196	Chloe interrupted the jailor during the staff meeting. She brought up that his staring
E1	1-2	112	P4	nprel	-3.12806	Howard was unhappy with the chatty realtor during the sale. He grumbled about the realtor's property
E1	1-2	112	CP4	nprel	-2.65797	Howard was unhappy with the chatty realtor during the sale. He grumbled about the realtor's property
E1	1-2	112	C4	nprel	0.406	Howard was unhappy with the chatty realtor during the sale. He grumbled about the realtor's property
E1	1-2	112	P3	nprel	-13.3608	Howard was unhappy with the chatty realtor during the sale. He grumbled about the realtor's property
E1	1-2	112	CP3	nprel	-11.6792	Howard was unhappy with the chatty realtor during the sale. He grumbled about the realtor's property
E1	1-2	112	C3	nprel	-7.66259	Howard was unhappy with the chatty realtor during the sale. He grumbled about the realtor's property
E1	1-2	4	P4	npunrel	-3.98828	Edgar celebrated the blushing novelist at the awards gala. He bragged that the novelist's milestone
E1	1-2	4	CP4	npunrel	-0.970434	Edgar celebrated the blushing novelist at the awards gala. He bragged that the novelist's milestone
E1	1-2	4	C4	npunrel	1.20523	Edgar celebrated the blushing novelist at the awards gala. He bragged that the novelist's milestone
E1	1-2	4	P3	npunrel	-9.84119	Edgar celebrated the blushing novelist at the awards gala. He bragged that the novelist's milestone
E1	1-2	4	CP3	npunrel	-10.0139	Edgar celebrated the blushing novelist at the awards gala. He bragged that the novelist's milestone
E1	1-2	4	C3	npunrel	-9.07272	Edgar celebrated the blushing novelist at the awards gala. He bragged that the novelist's milestone
E1	1-2	35	P4	control	3.92101	Jessica performed with the chiseled rockstar during the national tour. She was sad to realize that her guitar
E1	1-2	35	CP4	control	3.83095	Jessica performed with the chiseled rockstar during the national tour. She was sad to realize that her guitar
E1	1-2	35	C4	control	2.00456	Jessica performed with the chiseled rockstar during the national tour. She was sad to realize that her guitar
E1	1-2	35	P3	control	13.9064	Jessica performed with the chiseled rockstar during the national tour. She was sad to realize that her guitar
E1	1-2	35	CP3	control	12.1956	Jessica performed with the chiseled rockstar during the national tour. She was sad to realize that her guitar
E1	1-2	35	C3	control	6.03231	Jessica performed with the chiseled rockstar during the national tour. She was sad to realize that her guitar
E1	1-2	135	P4	control	7.74401	Ivan lifted the figure skater high into the air. He knew that although his jumps
E1	1-2	135	CP4	control	11.0764	Ivan lifted the figure skater high into the air. He knew that although his jumps
E1	1-2	135	C4	control	13.6825	Ivan lifted the figure skater high into the air. He knew that although his jumps
E1	1-2	135	P3	control	6.6187	Ivan lifted the figure skater high into the air. He knew that although his jumps
E1	1-2	135	CP3	control	11.5211	Ivan lifted the figure skater high into the air. He knew that although his jumps
E1	1-2	135	C3	control	11.7604	Ivan lifted the figure skater high into the air. He knew that although his jumps
E1	1-2	5	P4	control	16.8073	Joseph criticized the attractive clerk who helped with the project. He disliked that his ledger
