Subject	Electrode	N400	FullText	Item	Condition
s1	C3	-8.7711	The United States has a large stockpile of nuclear ornaments	Item 113	SemCrit
s1	C3	6.3059	She didn't answer the phone, so I left a massage	Item 137	SemCrit
s1	C3	5.364	Soda cans and tin foil are both made of exertion	Item 108	Sem
s1	C3	9.032	A new gravitational theory was proposed by an eminent physicists	Item 32	Synt
s1	C3	2.941	He soon backed away, sensing he had crossed a boundary	Item 119	Control
s1	C3	0.23587	The woman brought her sick pet dog to a veterinarians	Item 2	Synt
s1	C3	-1.4586	Like the IRS and FBI, CIA is another three-letter mobility	Item 95	Sem
s1	C3	-2.1556	The student went to medical school to become a physician	Item 31	Control
s1	C3	3.9164	The storyteller could turn any incident into an amusing anecdote	Item 5	Control
s1	C3	3.9355	Despite technological advances, wars cannot be won without an infantry	Item 54	Control
s1	C3	1.6933	Two common semi-aquatic rodents are a beaver and a collection	Item 150	Sem
s1	C3	6.1089	Yuan emperors were Mongolian because Kublai Khan founded this inebriation	Item 145	Sem
s1	C3	3.3166	His personality was dramatically altered after acquiring this brain leisure	Item 142	SemCrit
s1	C3	7.0113	The monk sat quietly and fell into a deep medication	Item 18	SemCrit
s1	C3	2.8947	The afternoon showing cost less because it was a matinees	Item 60	Synt
s1	C3	6.4844	Someone who has fought in a war is a veterans	Item 1	Synt
s1	C3	-5.9298	The rice was spiced with a pinch of that message	Item 70	Sem
s1	C3	-6.5623	He loves me? she wondered, plucking off a daisy petals	Item 152	Synt
s1	C3	5.1597	The vintage wedding dress was big and required an altercation	Item 3	SemCrit
s1	C3	9.0497	Marie Curie died of exposure to radiation from this veterinarian	Item 111	Sem
s1	C3	9.2994	Two important fluids in the body are blood and lymphs	Item 82	Synt
s1	C3	-11.829	He denounced the novel's film adaptation as a complete travesties	Item 68	Synt
s1	C3	-1.362	The poor stayed poor because of this limited upward nobility	Item 79	SemCrit
s1	C3	1.7394	The napalm turned the luscious forest into a fiery attitude	Item 124	Sem
s1	C3	15.844	On the mountaintop we felt dizzy because of this altitude	Item 105	Control
s1	C3	-4.7438	The pseudoscience of inferring personality from skull measurements is phrenology	Item 44	Control
s1	C3	5.539	Harvesting crops is often the job of a seasonal massage	Item 22	Sem
s1	C3	-7.0536	The crowded urban neighborhood had a very high population destiny	Item 135	SemCrit
s1	C3	1.7665	The congregation listens to a sermon delivered by a pastor	Item 130	Control
s1	C3	-1.4492	The doomsday preacher urged repentance and warned of an apostrophe	Item 148	SemCrit
s1	C3	13.128	The coach scolded the player for having a bad attitude	Item 106	Control
s1	C3	4.5194	Blackmail is just one of many weapons in this arsenal	Item 115	Control
s1	C3	-5.6525	The sudden change in protocol had caused all this constellation	Item 127	SemCrit
s1	C3	5.9292	The teacher taught that subtraction was the opposite of audition	Item 99	SemCrit
s1	C3	3.9761	The soaring eagle circled and glided upwards on a thermals	Item 72	Synt
s1	C3	-0.4254	The baseball player felt cheated and swore at a coronation	Item 40	Sem
s1	C3	2.7535	Old car engines mixed fuel and air in a carburetors	Item 103	Synt
s1	C3	3.9675	To protect herself from the sun, she carried a parasite	Item 156	SemCrit
s1	C3	9.4388	The cause of death must be determined by a coroners	Item 25	Synt
s1	C3	5.5967	This docile herbivorous aquatic mammal is known as a matinee	Item 59	SemCrit
s1	C3	-11.557	She lunged towards his neck, going right for the nymph	Item 84	Sem
s1	C3	0.27381	The king knelt to be crowned at an official parasite	Item 28	Sem
s1	C3	10.723	The flooded river fertilized the fields with a rich juggler	Item 9	Sem
s1	C3	-3.7807	The retiree found he soon tired of all this leisure	Item 141	Control
s1	C3	-3.2639	The reagents reacted faster in the presence of a callus	Item 13	SemCrit
s1	C3	-5.4174	The college sent out a newsletter to all its alumnus	Item 107	Synt
s1	C3	-8.8734	His office is down at the end of this corridor	Item 26	Control
s1	C3	5.2254	Senator McCarthy accused the screenwriter of being a Communist sympathizers	Item 65	Synt
s1	C3	4.2159	The flute player nervously prepared an excerpt for a corridor	Item 100	Sem
s1	C3	3.8032	It's alive! he cackled as he animated this monster bounty	Item 58	Sem
s1	C3	-1.7999	Agriculture in this desert would be impossible without this irrigations	Item 78	Synt
s1	C3	-2.9316	The whining alarm shut off, finally silencing this annoying destruction	Item 35	SemCrit
s1	C3	-4.9561	The powerful cheetah sprinted in pursuit of a baby gazelle	Item 74	Control
s1	C3	1.0316	Her grandmother's pennies inspired her to start a coin parasol	Item 19	Sem
s1	C3	0.12873	The celebrating couple joyfully popped open a bottle of campaign	Item 121	SemCrit
s1	C3	-1.1778	Pikemen can be an effective defense against a charging cavity	Item 15	SemCrit
s1	C3	-7.9648	Apply this eyeliner and brush your lashes with this audition	Item 61	Sem
s1	C3	-8.9629	Up on the tree branch perched a bright red cardinal	Item 11	Control
s1	C3	-3.628	She was vaccinated so her body would developed an immunities	Item 91	Synt
s1	C3	1.9096	A soldier fighting for the highest bidder is a mercenary	Item 131	Control
s10	C3	6.5233	She lunged towards his neck, going right for the jugulars	Item 84	Synt
s10	C3	-1.5352	Blinking causes a momentary pupil contraction followed by a dilution	Item 33	SemCrit
s10	C3	23.908	The princess arrived at the ball in a horse-drawn thermal	Item 109	Sem
s10	C3	6.179	The contraction for ""it is"" needs to include an apocalypse	Item 147	SemCrit
s10	C3	-4.3424	The student went to medical school to become a physicist	Item 31	SemCrit
s10	C3	2.2724	Blackmail is just one of many weapons in this arsenic	Item 115	SemCrit
s10	C3	13.122	Capture or kill the wanted criminal to collect a bounties	Item 120	Synt
s10	C3	-5.6181	The cheapest lunchmeat at this grocery store is this immortality	Item 117	Sem
s10	C3	-0.58889	Agriculture in this desert would be impossible without this irrigation	Item 78	Control
s10	C3	-2.447	She scolded the child for running backwards up an apocalypse	Item 154	Sem
s10	C3	17.315	On the mountaintop we felt dizzy because of this attitude	Item 105	SemCrit
s10	C3	-10.932	The teacher taught that subtraction was the opposite of humility	Item 99	Sem
s10	C3	-16.527	Rather than reducing violence, the intervention just caused a pedal	Item 153	Sem
s10	C3	2.3264	The crowded urban neighborhood had a very high population missionary	Item 135	Sem
s10	C3	6.8223	She saved him from the poison by administering an antidotes	Item 6	Synt
s10	C3	-2.6349	He denounced the novel's film adaptation as a complete travesty	Item 68	Control
s10	C3	13.296	The king knelt to be crowned at an official coronations	Item 28	Synt
s10	C3	2.7778	Oh, yes, very impressive, she drawled with a sarcastic infection	Item 55	SemCrit
s10	C3	6.2706	The devout Christian girl travelled to India as an admission	Item 132	Sem
s10	C3	-3.6391	Each winter evening, the family gathers around a warm hearth	Item 46	Control
s10	C3	-10.733	The poor stayed poor because of this limited upward spinster	Item 79	Sem
s10	C3	5.7864	Claiming two wrongs make a right is a common fallacy	Item 159	Control
s10	C3	-13.566	There is a beanbag toss game booth at this carnivals	Item 12	Synt
s10	C3	10.139	That white dog with little black spots is a dalmatian	Item 133	Control
s10	C3	-10.273	The printer needed more paper and a new ink veteran	Item 110	Sem
s10	C3	5.3337	The congregation listens to a sermon delivered by a pasture	Item 130	SemCrit
s10	C3	-11.39	Never stay out past midnight, was his mother's strict gazelle	Item 102	Sem
s10	C3	-7.9961	One window on the dilapidated house was missing a shutters	Item 38	Synt
s10	C3	6.9803	The slogan ""change"" was a focus of that presidential campaign	Item 122	Control
s10	C3	-10.812	A soldier fighting for the highest bidder is a missionary	Item 131	SemCrit
s10	C3	4.9772	Up on the tree branch perched a bright red carnival	Item 11	SemCrit
s10	C3	-7.1017	Don't call it a prison; call it a correctional facilities	Item 160	Synt
s10	C3	2.3823	The rice was spiced with a pinch of that saffrons	Item 70	Synt
s10	C3	10.234	The mason built his own house of brick and mortal	Item 93	SemCrit
s10	C3	-6.8038	The sermon denounced pride and extolled the virtue of humilities	Item 48	Synt
s10	C3	-6.2599	The archeologists found the mummy of a young Egyptian hearth	Item 30	Sem
s10	C3	-18.098	Two important fluids in the body are blood and lymph	Item 82	Control
s10	C3	-5.1955	The herd of cows was out grazing in a pastor	Item 129	SemCrit
s10	C3	-2.3349	The Big Dipper may perhaps be the most famous consternation	Item 128	SemCrit
s10	C3	11.813	The detectives discovered the professor was poisoned with this arsenics	Item 116	Synt
s10	C3	21.976	The vicious cyclone tragically caused many deaths and much destruction	Item 36	Control
s10	C3	-10.573	It's alive! he cackled as he animated this monster Frankensteins	Item 58	Synt
s10	C3	-6.5696	The afternoon showing cost less because it was a matinee	Item 60	Control
s10	C3	-9.8242	Pikemen can be an effective defense against a charging stipulation	Item 15	Sem
s10	C3	-20.399	The United States has a large stockpile of nuclear adoration	Item 113	Sem
s10	C3	7.2776	The pseudoscience of inferring personality from skull measurements is phonology	Item 44	SemCrit
s10	C3	8.2262	I blacked out and was confused when I regained consciousnesses	Item 125	Synt
s10	C3	23.074	In the nineties, the Rugrats was a very popular boundary	Item 85	Sem
s10	C3	-9.2654	The upscale apartment was complete with all these modern amenity	Item 8	Synt
s10	C3	-3.2504	Harvesting crops is often the job of a seasonal migrants	Item 22	Synt
s10	C3	8.6749	A syllogism is a common form of a deductive peasantry	Item 123	Sem
s10	C3	8.2725	Intestinal problems may indicate a tapeworm, a type of parasite	Item 155	Control
s10	C3	5.9822	The retiree found he soon tired of all this lesion	Item 141	SemCrit
s10	C3	-13.145	Statisticians emphasize that causation is not implied by a correlations	Item 27	Synt
s10	C3	5.7219	The preacher believed drunkenness was the cause of much immorality	Item 51	Control
s10	C3	-21.72	Rupert Murdoch is the owner of a vast media empire	Item 39	Control
s10	C3	-7.1903	Old car engines mixed fuel and air in a carburetor	Item 103	Control
s10	C3	14.829	Medics cleaned and bandaged the wound to prevent an inflection	Item 56	SemCrit
s10	C3	0.40017	The sudden change in protocol had caused all this inflection	Item 127	Sem
s10	C3	1.8511	An intense tension headache can be mistaken for a migrant	Item 21	SemCrit
s10	C3	-3.1768	Considering my previous experiences, I had a rather low expedition	Item 157	SemCrit
s10	C3	6.3221	This docile herbivorous aquatic mammal is known as a stimulation	Item 59	Sem
s10	C3	14.618	The coach scolded the player for having a bad altitude	Item 106	SemCrit
s10	C3	9.388	After hours of playing, the guitarist's fingertips developed a callus	Item 14	Control
s10	C3	-16.433	After my root canal the dentist prescribed a pain balcony	Item 17	Sem
s10	C3	-12.628	The reagents reacted faster in the presence of an anecdote	Item 13	Sem
s10	C3	-4.9715	The ring held small diamonds set around this blue medication	Item 69	Sem
s10	C3	5.3537	The flooded river fertilized the fields with a rich sediments	Item 9	Synt
s10	C3	29.438	Handling the rough wooden plank gave the woman a splinters	Item 87	Synt
s10	C3	2.1936	The child made a caterpillar from an old egg carton	Item 86	Control
s10	C3	6.212	The casket was carried to the cemetery in a hearth	Item 45	SemCrit
s10	C3	4.8311	The thesaurus shows that a synonym for drunkenness is abbreviation	Item 96	SemCrit
s10	C3	11.314	A new gravitational theory was proposed by an eminent physicist	Item 32	Control
s10	C3	17.162	The president of the college handed each graduate a diplomas	Item 139	Synt
s10	C3	1.541	The napalm turned the luscious forest into a fiery infernos	Item 124	Synt
s10	C3	2.65	He loves me? she wondered, plucking off a daisy petal	Item 152	Control
s10	C3	8.806	The scientist designed an experiment to test a controversial hypotheses	Item 49	Synt
s10	C3	-2.359	The goddess refused to be bested by a mere mortar	Item 94	SemCrit
s10	C3	17.796	The hostess greeted her guests with a light social pleasantries	Item 64	Synt
s10	C3	18.959	No light escapes the black hole once within this radius	Item 112	Control
s10	C3	-4.8102	The teacher interrupted his sentence to make a grammatical collection	Item 20	SemCrit
s10	C3	-2.4282	He had a short attention span and needed constant stipulation	Item 90	SemCrit
s10	C3	17.546	A lolcat is cat photograph with a humorous ungrammatical radius	Item 97	Sem
s10	C3	-4.0082	She danced with an elegant masked gentleman at that mortar	Item 62	Sem
s10	C3	-4.7474	He idolized her, and her self-esteem benefited from this adoration	Item 144	Control
s10	C3	-13.641	The low intensity workout compensated by having a long Frankenstein	Item 143	Sem
s10	C3	5.0775	Use Pythagoras' theorem to find the length of a hypotenuse	Item 50	Control
s10	C3	-4.9563	Candidates must be citizens, but that is the only stipulation	Item 89	Control
s10	C3	-0.21256	Disgusted, she pulled away from his touch with a facility	Item 37	Sem
s10	C3	-2.6931	The sailors feared the harsh discipline of this ship captains	Item 98	Synt
s10	C3	-22.269	The circus featured an acrobat, a clown, and a jugglers	Item 83	Synt
s10	C3	5.7886	The student had his editorial published in a local gazette	Item 73	Control
s10	C3	-0.053291	The computer could read text aloud using a speech sympathizer	Item 66	SemCrit
s10	C3	-3.7516	The monk sat quietly and fell into a deep arsenal	Item 18	Sem
s10	C3	-2.6088	After she deceived her mother, she had a guilty consciences	Item 126	Synt
s10	C3	-3.2222	The study of sounds in language is known as leisure	Item 43	Sem
s10	C3	6.5828	Like the IRS and FBI, CIA is another three-letter abbreviations	Item 95	Synt
s10	C3	13.914	The heat felt even worse because of all this humidity	Item 47	Control
s10	C3	-7.9483	His office is down at the end of this coroner	Item 26	SemCrit
s10	C3	-11.276	Incensed at the captain, the crew staged a full-scale mutiny	Item 92	Control
s10	C3	-9.4013	The celebrating couple joyfully popped open a bottle of armaments	Item 121	Sem
s10	C3	8.6163	You cannot buy Cuban cigars because there is an embryo	Item 75	SemCrit
s10	C3	3.8256	Apply this eyeliner and brush your lashes with this mascaras	Item 61	Synt
s10	C3	-2.3236	Clownfish have evolved invulnerability to the poison tentacles of anemones	Item 7	Control
s10	C3	3.9796	To make the car accelerate, press down on this petal	Item 151	SemCrit
s10	C3	3.9319	I control my fate; I don't have a predetermined destinies	Item 136	Synt
s10	C3	-10.935	The vintage wedding dress was big and required an inferno	Item 3	Sem
s10	C3	3.9618	The lecherous satyr chased after a beautiful lithe wood lymph	Item 81	SemCrit
s10	C3	9.0884	She didn't answer the phone, so I left a tapestry	Item 137	Sem
s10	C3	-2.7647	The zoo had two giraffes, an elephant, and a rhinos	Item 23	Synt
s10	C3	20.236	The museum pass provides five dollars off of each admissions	Item 101	Synt
s10	C3	8.6183	The soldier rammed gunpowder down the barrel of a muskrat	Item 149	SemCrit
s10	C3	9.052	The ambassador who negotiated the deal was a skilled diplomat	Item 140	Control
s10	C3	-0.76803	The whining alarm shut off, finally silencing this annoying mascara	Item 35	Sem
s10	C3	13.378	The baseball player felt cheated and swore at an umpires	Item 40	Synt
s10	C3	10.603	For lunch, she had brought tomato soup in a lesion	Item 71	Sem
s10	C3	14.221	The dentist congratulated me on not having a single petal	Item 16	Sem
s10	C3	17.76	Marie Curie died of exposure to radiation from this radiums	Item 111	Synt
s10	C3	-4.2437	The soaring eagle circled and glided upwards on a thermal	Item 72	Control
s10	C3	10.662	Despite technological advances, wars cannot be won without an infamy	Item 54	SemCrit
s10	C3	-9.9691	The college sent out a newsletter to all its alumni	Item 107	Control
s10	C3	-2.3711	After the Holocaust, German history could never escape this infamy	Item 53	Control
s10	C3	1.0278	He soon backed away, sensing he had crossed a bounty	Item 119	SemCrit
s10	C3	12.178	Some controversial stem cell research requires a fertilized human embryos	Item 76	Synt
s10	C3	-2.3365	Her grandmother's pennies inspired her to start a coin collections	Item 19	Synt
s10	C3	11.199	Senator McCarthy accused the screenwriter of being a Communist sympathizer	Item 65	Control
s10	C3	4.4156	His personality was dramatically altered after acquiring this brain rhino	Item 142	Sem
s10	C3	0.9914	The castle wall was adorned with a beautiful woven tapestry	Item 67	Control
s10	C3	10.268	Two common semi-aquatic rodents are a beaver and a muskrats	Item 150	Synt
s10	C3	-6.237	The moth attracted a mate by releasing a potent admonition	Item 29	Sem
s10	C3	6.0602	The powerful cheetah sprinted in pursuit of a baby gazette	Item 74	SemCrit
s10	C3	9.5182	Feudal lords lived off the labor of an oppressed peasantry	Item 63	Control
s10	C3	10.301	The doomsday preacher urged repentance and warned of a pharaoh	Item 148	Sem
s10	C3	1.8203	The bleach is too concentrated and requires a one-in-five dilation	Item 34	SemCrit
s10	C3	16.961	The artist achieved eternal fame despite not seeking this immortality	Item 52	Control
s10	C3	5.9842	Champagne was once reserved exclusively for the royalty and mobility	Item 80	SemCrit
s10	C3	0.45665	Political corruption and economic hardship fueled a growing anti-government sentiments	Item 10	Synt
s10	C3	-5.2172	Edith Piaf's extraordinary singing career was begun in a thermos	Item 104	Sem
s12	C3	-8.3359	He denounced the novel's film adaptation as a complete diploma	Item 68	Sem
s12	C3	7.3026	The flute player nervously prepared an excerpt for an addition	Item 100	SemCrit
s12	C3	-9.9166	The king knelt to be crowned at an official correlation	Item 28	SemCrit
s12	C3	7.5922	She scolded the child for running backwards up an escalator	Item 154	Control
s12	C3	-4.8633	Up on the tree branch perched a bright red cardinals	Item 11	Synt
s12	C3	4.4742	The Caribbean cruise package includes this kayaking and snorkeling excursion	Item 41	Control
s12	C3	8.5013	The study of sounds in language is known as phonology	Item 43	Control
s12	C3	-4.8046	The sermon denounced pride and extolled the virtue of humidity	Item 48	SemCrit
s12	C3	1.9765	An intense tension headache can be mistaken for a migraines	Item 21	Synt
s12	C3	6.3968	The goddess refused to be bested by a mere mortals	Item 94	Synt
s12	C3	3.4568	The storyteller could turn any incident into an amusing anecdotes	Item 5	Synt
s12	C3	6.803	Senator McCarthy accused the screenwriter of being a Communist fallacy	Item 65	Sem
s12	C3	-13.64	The cause of death must be determined by a dynasty	Item 25	Sem
s12	C3	18.152	The flooded river fertilized the fields with a rich sentiment	Item 9	SemCrit
s12	C3	4.8056	She danced with an elegant masked gentleman at that masquerade	Item 62	Control
s12	C3	-2.5549	The student went to medical school to become a physicians	Item 31	Synt
s12	C3	1.7219	The teacher taught that subtraction was the opposite of addition	Item 99	Control
s12	C3	-0.93208	Considering my previous experiences, I had a rather low expectations	Item 157	Synt
s12	C3	-3.7635	The scientist designed an experiment to test a controversial hypotenuse	Item 49	SemCrit
s12	C3	-15.246	That white dog with little black spots is an umpire	Item 133	Sem
s12	C3	-8.2946	The slogan ""change"" was a focus of that presidential damnation	Item 122	Sem
s12	C3	9.3657	The three kings bore gifts of gold, myrrh, and frankincense	Item 57	Control
s12	C3	-8.1568	The castle wall was adorned with a beautiful woven abbreviation	Item 67	Sem
s12	C3	1.5429	The child wore a glittery crown with a pink rhino	Item 24	SemCrit
s12	C3	5.8961	Can't you just be quiet? she snapped revealing her irritations	Item 77	Synt
s12	C3	-4.4944	The herd of cows was out grazing in a pastures	Item 129	Synt
s12	C3	7.9348	The museum pass provides five dollars off of each admonition	Item 101	SemCrit
s12	C3	-4.9907	The artist achieved eternal fame despite not seeking this dilation	Item 52	Sem
s12	C3	-6.6726	A new gravitational theory was proposed by an eminent campaign	Item 32	Sem
s12	C3	8.241	The soldier rammed gunpowder down the barrel of a muskets	Item 149	Synt
s12	C3	19.251	The crowded urban neighborhood had a very high population density	Item 135	Control
s12	C3	10.983	For lunch, she had brought tomato soup in a thermos	Item 71	Control
s12	C3	-10.258	Incensed at the captain, the crew staged a full-scale correlation	Item 92	Sem
s12	C3	4.1256	She saved him from the poison by administering an anecdote	Item 6	SemCrit
s12	C3	9.1127	Handling the rough wooden plank gave the woman a spinster	Item 87	SemCrit
s12	C3	-7.2674	To make the car accelerate, press down on this pedals	Item 151	Synt
s12	C3	21.126	The sailors feared the harsh discipline of this ship caption	Item 98	SemCrit
s12	C3	-6.0175	He soon backed away, sensing he had crossed a boundaries	Item 119	Synt
s12	C3	5.0093	He loves me? she wondered, plucking off a daisy coroner	Item 152	Sem
s12	C3	-0.50631	The rice was spiced with a pinch of that sapphire	Item 70	SemCrit
s12	C3	19.993	Romeo longingly admired Juliet as she stood on this balconies	Item 118	Synt
s12	C3	7.9292	Statisticians emphasize that causation is not implied by a coronation	Item 27	SemCrit
s12	C3	5.8738	After she deceived her mother, she had a guilty consciousness	Item 126	SemCrit
s12	C3	-25.647	The heat felt even worse because of all this catalyst	Item 47	Sem
s12	C3	0.88003	The Christmas tree was decorated with many shining glass armaments	Item 114	SemCrit
s12	C3	21.102	The congregation listens to a sermon delivered by a pastors	Item 130	Synt
s12	C3	-3.2404	His personality was dramatically altered after acquiring this brain lesion	Item 142	Control
s12	C3	-9.9962	Clownfish have evolved invulnerability to the poison tentacles of ornaments	Item 7	Sem
s12	C3	-21.669	Capture or kill the wanted criminal to collect a boundary	Item 120	SemCrit
s12	C3	5.0354	A soldier fighting for the highest bidder is a mercenaries	Item 131	Synt
s12	C3	-16.669	The teacher interrupted his sentence to make a grammatical corrections	Item 20	Synt
s12	C3	-1.0148	Agriculture in this desert would be impossible without this caption	Item 78	Sem
s12	C3	3.0047	The zoo had two giraffes, an elephant, and a rhinestone	Item 23	SemCrit
s12	C3	12.465	After my root canal the dentist prescribed a pain medication	Item 17	Control
s12	C3	12.346	The whining alarm shut off, finally silencing this annoying distraction	Item 35	Control
s12	C3	-1.0845	Apply this eyeliner and brush your lashes with this masquerade	Item 61	SemCrit
