TargetWords	Condition	ContextCode	N400	Subject	PlausibilityJudgement	Electrode	Cloze	FullText	ON	ZipfFrequency
raise	BC	001	5.84	CP19	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.71	CP28	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.29	CP22	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-5.36	CP16	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	11.72	CP28	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.44	CP16	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	10.14	CP28	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	4.43	CP19	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.74	CP06	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.22	CP06	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.13	CP22	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	0.48	CP16	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.69	CP06	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.32	CP19	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.23	CP16	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	4.68	CP19	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.7	CP16	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.07	CP19	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	8.58	CP28	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	8.54	CP28	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	5.82	CP28	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.89	TP19	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	9.74	TP19	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-1.14	TP24	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	1.43	TP19	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	7.76	TP31	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.08	TP30	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.51	TP37	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.63	TP06	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.18	TP06	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.86	TP24	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.19	TP02	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.85	TP30	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-9.61	TP06	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.62	TP30	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	11.03	TP31	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	7	TP37	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-3.95	TP30	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.59	TP24	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.23	TP24	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	5.22	TP31	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	1.86	TP24	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.04	TP30	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.07	TP37	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-5.42	TP06	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-0.07	TP24	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	15.06	TP31	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	12.53	TP31	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	1.35	TP19	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.09	TP37	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	11.96	TP31	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.61	TP02	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.76	TP30	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.47	TP19	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	11.76	TP19	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-13.48	TP06	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.35	TP24	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	17.6	TP31	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	10.78	TP31	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-10.53	TP06	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.6	TP30	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	4.72	TP37	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.82	TP19	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.71	TP02	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	10.41	TP19	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-9.5	TP02	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	0.41	TP24	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.18	TP37	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.77	TP06	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.63	TP06	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	8.61	TP31	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-5.17	TP06	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.06	TP30	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	5.83	TP37	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.16	TP02	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-8.79	TP02	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.7	TP02	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.27	TP24	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.11	TP02	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.26	TP37	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.42	TP37	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-5.86	TP30	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-7.3	TP02	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	8.23	TP19	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
couch	BC	008	-2.31	CP21	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.86	CP18	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.96	CP18	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	11.71	CP14	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-6.47	CP21	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-1.38	CP21	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.65	CP21	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-11.38	CP04	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-8.32	CP04	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-9.01	CP04	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	10.98	CP14	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.7	CP21	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-7.9	CP04	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.19	CP27	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	7.17	CP14	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.99	CP27	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.64	CP18	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	6.66	CP14	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-6.33	CP18	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-8.23	CP04	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.3	CP27	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	10.64	CP14	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-12.43	CP04	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.21	CP14	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-4.04	CP21	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.36	CP27	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.68	CP18	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.09	CP27	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	8.02	CP14	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.88	CP27	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-9.33	CP04	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-0.94	CP21	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.66	CP27	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.32	CP18	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.07	CP27	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-6.91	CP04	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-6.59	CP18	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-9.22	CP04	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.8	CP21	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	5.76	CP14	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.24	CP27	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	4.08	CP14	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-1.68	CP18	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-4.83	CP21	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-4.39	CP18	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.27	TP31	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	13.23	TP19	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.88	TP37	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	6.9	TP31	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-0.25	TP01	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	0.26	TP31	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.58	TP01	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	9.08	TP19	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-18.03	TP30	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.83	TP24	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	7.31	TP31	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	8.99	TP19	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-20.62	TP30	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.08	TP24	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	9.62	TP31	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-13.68	TP30	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	0.72	TP01	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-9.35	TP31	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-23.69	TP30	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	0.99	TP37	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	2.64	TP19	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.91	TP24	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-1.83	TP37	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-9.51	TP30	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-4.21	TP24	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	9.81	TP19	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	10.23	TP19	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-19.55	TP30	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.32	TP31	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	2.65	TP37	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	2.25	TP31	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	4.79	TP37	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.73	TP01	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	2.18	TP01	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	1.07	TP31	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-1.3	TP37	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.69	TP24	1.21	P3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-11.21	TP30	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.91	TP19	1.21	P4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	0.11	TP19	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-0.87	TP01	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	6.98	TP01	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-3.03	TP24	1.21	C3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	4.51	TP37	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-1.46	TP24	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.89	TP01	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-15.4	TP30	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	2.91	TP37	1.21	CP3	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	10.82	TP19	1.21	CPz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-17.44	TP30	1.21	CP4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-4.46	TP24	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-5.39	TP24	1.21	Cz	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	-2.06	TP01	1.21	C4	0.1875	The cigar burned a hole in the couch	6	4.17
couch	BC	008	3.92	TP37	1.21	Pz	0.1875	The cigar burned a hole in the couch	6	4.17
try	BC	011	3.63	CP15	1.33	P4	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	10.77	CP12	1.33	Cz	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	13.17	CP29	1.33	P4	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	8.44	CP15	1.33	CP3	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	12.58	CP12	1.33	P3	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	-5.14	CP07	1.33	P3	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	-2.38	CP09	1.33	P3	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	15.98	CP29	1.33	CP4	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	4.77	CP12	1.33	Pz	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	13.73	CP29	1.33	Pz	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	2.96	CP07	1.33	CP4	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	15.54	CP29	1.33	CP3	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	12.39	CP01	1.33	P4	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	-1.43	CP09	1.33	Cz	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	-8.73	CP07	1.33	Cz	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	7.13	CP15	1.33	P3	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
try	BC	011	-2.2	CP09	1.33	CPz	0.03448275862068965	His first film was a failure, but he learned some techniques in that first try	7	5.5
