FullText	TargetWords	pos_start	Subject	Item	logfreq	concr	old20	dataset	cloze_p	n400	bline
He scraped the cold food from his floor	floor	7	dataset 1_01	111	8.543445562560303	4.8	1.8	Federmeier et al. (2007)	0	-2.677290843640155	-12.462714490376356
The prisoners were planning their party	party	5	dataset 1_01	190	9.38353709043758	3.89	1.3	Federmeier et al. (2007)	0	-4.238896710437526	-11.812166559314978
I didn't like the show so I changed the channel	channel	9	dataset 1_01	369	7.1276936993473985	4.18	1.9	Federmeier et al. (2007)	0.970103092783505	1.203448058350174	-12.587780558238094
I added my name to the basket	basket	6	dataset 1_01	145	6.511745329644728	5	1.8	Federmeier et al. (2007)	0	-15.37425110060263	-10.676860199486956
While skiing, Randy broke his leg	leg	5	dataset 1_01	226	7.966586697638403	4.83	1	Federmeier et al. (2007)	0.618236472945892	0.7092305736830776	-12.514425380780756
The breeze lifted the smell	smell	4	dataset 1_01	315	8.352554369474591	3.7	1.45	Federmeier et al. (2007)	0	-12.31123493990035	-8.114804216760074
Giraffes are known for their long necks and zebras for their speed	speed	11	dataset 1_01	249	7.652070746116482	3.62	1.45	Federmeier et al. (2007)	0.029	-3.629185878191848	-16.39483341066037
The approaching storm made the air very heavy	heavy	7	dataset 1_01	18	7.788626065625032	3.37	1.9	Federmeier et al. (2007)	0	-11.853373341839593	1.598434804747217
The baby cried and upset her stomach	stomach	6	dataset 1_01	245	7.453561871643373	4.89	2.9	Federmeier et al. (2007)	0.0290581162324649	-2.9890385773980337	-16.643351412942582
She couldn't find anything she wanted to own	own	7	dataset 1_01	27	10.061345637151708	1.96	1.4	Federmeier et al. (2007)	0	2.4257847220494217	-6.785189590733421
Although Jan was usually careful she had forgotten to turn off the freezers	freezers	12	dataset 1_01	367	2.833213344056216	4.87	2.3	Federmeier et al. (2007)	0	-14.82370537506966	-12.563047654136112
Josie found she could not bend the elbow of her broken arm	arm	11	dataset 1_01	320	8.112827478751374	4.96	1	Federmeier et al. (2007)	0.912	1.9813904798019268	-4.143130867853177
She wore heavy wool socks and her sturdiest boots to go walking in the mud	mud	14	dataset 1_01	200	6.6293632534374485	4.86	1	Federmeier et al. (2007)	0.0590590590590591	-8.114453373545015	2.088256712718805
I think that my stockbroker is a crook	crook	7	dataset 1_01	336	5.66988092298052	3.79	1.55	Federmeier et al. (2007)	0.18200620475698	-8.021736590335594	-15.492150281010344
Tim threw a rock and broke the camera	camera	7	dataset 1_01	37	7.97522083865341	5	1.95	Federmeier et al. (2007)	0	5.2924436693827195	4.901738279232884
As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter underwear	underwear	16	dataset 1_01	243	7.00850518208228	4.96	3.1	Federmeier et al. (2007)	0	-13.659509856062424	-11.162807005484408
Although this film was an exception, she generally went to see movies that were funny	funny	14	dataset 1_01	148	9.31721973360328	2.5	1.5	Federmeier et al. (2007)	0.270811380400422	9.419467989602346	6.575302472427435
His seat was next to the window	window	6	dataset 1_01	233	8.386400901166214	4.86	1.95	Federmeier et al. (2007)	0.412825651302605	1.3115223156144191	4.738140905012251
The bad boy was sent to his counselor	counselor	7	dataset 1_01	368	6.2285110035911835	4.24	2.9	Federmeier et al. (2007)	0.0308510638297872	-10.06405322145333	-8.47573907349816
Liz and Marie sat at the conference table and discussed the topic for the next lecture	lecture	15	dataset 1_01	45	6.282266746896006	3.79	2.05	Federmeier et al. (2007)	0.0592369477911647	-4.000328966909028	-4.007694110407286
Ruby's grandchildren hired a live-in nurse because they thought she was too old to live long	long	15	dataset 1_01	11	10.446799727336415	3.18	1	Federmeier et al. (2007)	0.029	6.347655127993575	-8.111401623860614
The jeweler was asked if he would examine the ring's huge diamond	diamond	11	dataset 1_01	44	6.960347729101308	4.89	2.85	Federmeier et al. (2007)	0.678034102306921	5.459915342970814	3.991643588543062
Be careful because the top of the stove is very dirty	dirty	10	dataset 1_01	182	8.128585200374497	4.23	1.85	Federmeier et al. (2007)	0.0307529162248144	-0.3719605380326485	3.5562200815044465
Every morning Susan braids her little girl's hair then helps her dress for success	success	13	dataset 1_01	327	7.237778191923443	2.21	2.6	Federmeier et al. (2007)	0	2.084747481775337	-13.252191842717014
The hinges were rusted shut, so he had to pry it open with a flourish	flourish	14	dataset 1_01	109	3.737669618283368	2.1	2.75	Federmeier et al. (2007)	0	-9.501253550132144	-15.829916713463028
It didn't get completed because he could not locate the right dictionary	dictionary	11	dataset 1_01	270	5.25227342804663	4.62	3.5	Federmeier et al. (2007)	0	-0.03130891503474103	-0.7421706209563226
We followed the path up the hill, and there under the tree was a cat	cat	14	dataset 1_01	110	8.126813720726114	4.86	1	Federmeier et al. (2007)	0.113095238095238	7.5569216314557055	3.8711965513904527
John swept the floor with a broom	broom	6	dataset 1_01	273	5.497168225293202	4.89	1.6	Federmeier et al. (2007)	0.853	-8.516138084388315	-7.591998881082947
The groom took the bride's hand and placed the ring on her finger	finger	12	dataset 1_01	208	7.534228326274089	5	1.45	Federmeier et al. (2007)	0.970103092783505	9.97466145318139	-10.919103390764285
They saw the lightening and heard the thunder	thunder	7	dataset 1_01	244	6.522092798170152	4.34	1.9	Federmeier et al. (2007)	0.941	-3.955360781368265	2.0811972346373007
The colonel wished the sergeant would treat his command not as a polite request but as a direct order	order	18	dataset 1_01	334	8.985445287623167	2.79	1.75	Federmeier et al. (2007)	0.848609680741504	-4.738162247816978	-5.822849406067373
The man could not believe that they were all dead	dead	9	dataset 1_01	94	10.03884852046658	4.07	1.25	Federmeier et al. (2007)	0.241052631578947	5.263005138298415	8.329406337762917
I just had a new sound system installed in my car	car	10	dataset 1_01	55	10.112004656988177	4.89	1	Federmeier et al. (2007)	0.79559118236473	5.866102539776765	-14.353872963365715
The cows moved from the sun into the shade	shade	8	dataset 1_01	113	5.720311776607412	3.38	1.25	Federmeier et al. (2007)	0.884231536926148	3.3660500856735136	-14.800945581508028
The old woman was the only one to see the accident	accident	10	dataset 1_01	316	8.330140460246382	3.26	2.65	Federmeier et al. (2007)	0.207452165156093	0.9258410321814992	6.7315707504276645
I was impressed by how much he published	published	7	dataset 1_01	174	5.908082938168931	3.26	2.55	Federmeier et al. (2007)	0	0.04291748563606111	-4.908015441393943
Ken built his new house on a quiet farm	farm	8	dataset 1_01	224	7.334981878871814	4.59	1.4	Federmeier et al. (2007)	0.0592964824120603	-4.8858259042593355	-3.882178607735822
She was having a hard time because she didn't know the story	story	11	dataset 1_01	104	9.329100707697023	3.3	1.6	Federmeier et al. (2007)	0	14.795479628676455	13.420779146016182
When she got there she found that most of the people were gone	gone	12	dataset 1_01	257	9.62483129129166	2.04	1.1	Federmeier et al. (2007)	0.395445134575569	0.757288704711739	12.90218298031349
The teacher saw that some students were cheating and wrote down their grades	grades	12	dataset 1_01	147	6.113682179832232	3	1.4	Federmeier et al. (2007)	0	-4.274018406627512	-12.954457138234991
Peter painted the walls of the bird exhibit light blue to resemble the sky	sky	13	dataset 1_01	358	7.734558844354756	4.45	1.45	Federmeier et al. (2007)	0.759297520661157	1.811482467005937	-11.09236218237195
The hikers wanted to camp close to the river	river	8	dataset 1_01	209	7.948031990637284	4.89	1.3	Federmeier et al. (2007)	0.294589178356713	-2.08158011861963	3.2407484499455803
Each night the campers built a huge igloo	igloo	7	dataset 1_01	28	2.772588722239781	4.73	2.45	Federmeier et al. (2007)	0	5.823472163104302	0.08576697370618919
The white gull dove down and caught a draft	draft	8	dataset 1_01	253	5.918893854273146	3.15	1.55	Federmeier et al. (2007)	0	-11.167392637870186	-15.898298273945786
When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare cash	cash	21	dataset 1_01	206	8.214735833382303	4.48	1	Federmeier et al. (2007)	0	-10.525426256690585	-10.980278342931094
On hot days, many people sun themselves on the roof	roof	9	dataset 1_01	335	7.506042178518122	4.79	1.15	Federmeier et al. (2007)	0.0608875128998968	-0.5246671186340951	-16.241919358984884
As soon as they reached the sand he stopped to take off his watch	watch	13	dataset 1_01	137	9.731037115537436	4.61	1.55	Federmeier et al. (2007)	0	-11.221517270455005	1.7936031218832085
The sewer backed up and caused a stink	stink	7	dataset 1_01	229	6.513230110912307	3.72	1.35	Federmeier et al. (2007)	0	7.605701078580563	19.377310791522696
After the hurricane, the area around the window was filled with broken glass	glass	12	dataset 1_01	3	8.038189179973203	4.82	1.75	Federmeier et al. (2007)	0.941941941941942	-0.121789445482252	-1.23237258929086
She dropped the glass and woke up the baby	baby	8	dataset 1_01	217	10.16504379833675	5	1.7	Federmeier et al. (2007)	0.235707121364092	-6.5573327394584116	-6.814584966843178
When Drew arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent patio	patio	15	dataset 1_01	152	4.897839799950911	4.89	1.85	Federmeier et al. (2007)	0	-16.19298619379429	-2.947954109555866
Tim's friend pushed him into a hamper	hamper	6	dataset 1_01	241	4.290459441148391	4.21	1.7	Federmeier et al. (2007)	0	-3.4935014361059036	-7.700018732842168
The luggage handler seemed to take great delight in tossing the boxes marked Ohio	Ohio	13	dataset 1_01	32	6.09807428216624	4.9	1.95	Federmeier et al. (2007)	0	1.513021568590661	-4.9796481036680484
Mr. Smith enjoyed showing people his newly installed stereo	stereo	8	dataset 1_01	203	5.720311776607412	4.63	1.95	Federmeier et al. (2007)	0.282515991471215	-0.3328974139723684	-12.885468633186724
Every day, rain or shine, the joggers ran up and down the hill	hill	12	dataset 1_01	234	7.557994958530806	4.93	1	Federmeier et al. (2007)	0.412412412412412	7.479536780348516	-5.1932875711296775
Our government was secretly supplying the rebels with arms and ships	ships	10	dataset 1_01	42	6.910750787961936	4.87	1.4	Federmeier et al. (2007)	0	-10.718651826229042	-16.9642219928371
George must keep his pet on a leash	leash	7	dataset 1_01	107	5.393627546352362	4.89	1.8	Federmeier et al. (2007)	0.855289421157685	7.266778930280861	-11.548073741941613
When she came back from the restroom she found him in deep conversation with a guard	guard	15	dataset 1_01	364	7.99598047476376	4.04	1.8	Federmeier et al. (2007)	0	-9.487892943819642	-9.383468943582056
That ramp has been closed for construction for several days	days	9	dataset 1_01	29	9.654577374584886	3.36	1	Federmeier et al. (2007)	0.412	-22.704587081656236	-11.158814549422614
The man who was carried into the emergency room had been stabbed in a fight	fight	14	dataset 1_01	313	9.23561817916045	4.2	1.35	Federmeier et al. (2007)	0.376332622601279	2.7924658444076083	-12.07949852549387
After dinner, they spent a long time over coffee just staring	staring	10	dataset 1_01	256	7.087573705557973	3.8	1.15	Federmeier et al. (2007)	0.0290581162324649	1.350836673153511	2.5935480092095133
Rachel loves the smell of tobacco but she can't stand all the smoke	smoke	12	dataset 1_01	162	8.11312710422178	4.96	1.5	Federmeier et al. (2007)	0.881687242798354	5.658203937889664	7.28908981714704
As usual, he didn't do well because he had not prepared his plan	plan	12	dataset 1_01	121	8.913684824725294	3.4	1.2	Federmeier et al. (2007)	0	-2.46322293812942	3.1059912710545556
I could not remember his name	name	5	dataset 1_01	255	10.396230668751352	3.5	1.15	Federmeier et al. (2007)	0.941941941941942	-2.4060878644353387	-1.2557635971179375
The officials tried to evacuate everyone from the area before the explosion	explosion	11	dataset 1_01	311	6.7357800142423265	4.52	2.65	Federmeier et al. (2007)	0.426059979317477	4.041018494629068	-0.5472359856771167
Before she arrived he opened a bottle of wine and put on some soft slippers	slippers	14	dataset 1_01	201	5.575949103146316	4.86	1.65	Federmeier et al. (2007)	0	-2.1763972849197817	-2.9950603187205367
Sharon dried the bowls with a towel	towel	6	dataset 1_01	81	6.583409222158765	4.86	1.6	Federmeier et al. (2007)	0.849484536082474	13.782987447696213	9.204489419008912
The little girl refused to go to sleep until he told her a story	story	13	dataset 1_01	193	9.329100707697023	3.3	1.6	Federmeier et al. (2007)	1	-17.127197065396018	-9.168768682328055
Seth was uneasy because he had never liked to lie	lie	9	dataset 1_01	156	8.721602344674197	3.11	1	Federmeier et al. (2007)	0.113659022931206	-0.23498535539220683	-6.16183966235716
He bought her a pearl necklace for her birthday	birthday	8	dataset 1_01	112	8.508959386489133	3.2	3.4	Federmeier et al. (2007)	0.856143856143856	-5.8477469206306765	-18.1116789431581
Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three children	children	17	dataset 1_01	166	9.097283649683886	4.89	2.85	Federmeier et al. (2007)	0.646454265159301	5.752358530827803	-8.928404139356907
Kim was relieved to see that ample food had been made for the hungry	hungry	13	dataset 1_01	135	8.276903481267057	2.9	2.45	Federmeier et al. (2007)	0	6.648660677347388	-4.562808763629857
Phil put some drops in his fishtank	fishtank	6	dataset 1_01	24	0	4.83	3.25	Federmeier et al. (2007)	0	-2.7838977806046694	-1.479455985287793
He grew corn to feed his children	children	6	dataset 1_01	235	9.097283649683886	4.89	2.85	Federmeier et al. (2007)	0.0290581162324649	10.620852122217643	4.167071507044138
They stood on the bridge tossing stale bread to the ducks	ducks	10	dataset 1_01	357	6.07073772800249	4.86	1.3	Federmeier et al. (2007)	0.406815761448349	1.4531211835417666	-5.782698420444506
The young boy asked for another drink	drink	6	dataset 1_01	8	9.442879644930755	4.76	1.65	Federmeier et al. (2007)	0.103529411764706	3.391894841466839	-3.2980571802871093
Whether it is true or not, most women think that men don't know how to cook	cook	15	dataset 1_01	331	7.751475318021456	4.32	1	Federmeier et al. (2007)	0.292494481236203	-1.192437701339219	-13.742130348617948
He looked worried because he might have broken his collection	collection	9	dataset 1_01	141	6.831953565565855	4.04	2.45	Federmeier et al. (2007)	0	2.7114453184163323	1.5146569116707655
The queen waited patiently for the man to crack	crack	8	dataset 1_01	101	7.424165281042028	4.53	1.4	Federmeier et al. (2007)	0	-3.254224922740227	-8.401106220828314
Larry chose not to join the army	army	6	dataset 1_01	167	8.382747094863314	4.7	1.7	Federmeier et al. (2007)	0.32172131147541	2.1115608828067276	1.560776175179844
Most shark attacks occur very close to winter	winter	7	dataset 1_01	221	7.198931240688173	3.84	1.65	Federmeier et al. (2007)	0	0.5720871475716577	-8.437832078726402
You can't open the door with the wrong key	key	8	dataset 1_01	291	8.39638057119949	4.89	1.2	Federmeier et al. (2007)	0.941941941941942	-11.197785145301374	-10.63920453849314
He positioned the violin under his chair	chair	6	dataset 1_01	240	7.828834527588089	4.58	1.6	Federmeier et al. (2007)	0.0590590590590591	-2.5860857761534173	-6.540159244070463
The two hold-up men carried guns but didn't shoot	shoot	8	dataset 1_01	325	9.037533407550814	3.97	1.35	Federmeier et al. (2007)	0.699069286452947	-2.9134266737074164	14.205577990683992
Joe went to the hardware store and bought a replacement window at twice the original thickness	thickness	15	dataset 1_01	68	3.295836866004329	3.37	2.75	Federmeier et al. (2007)	0	-7.758659238475052	-3.944086670739793
As a punishment, his parents immediately took away his toys	toys	9	dataset 1_01	290	6.51471269087253	4.93	1.45	Federmeier et al. (2007)	0.0618336886993603	-7.022454932766667	-15.41108692468599
They were surprised that Jack thought that it was funny	funny	9	dataset 1_01	349	9.31721973360328	2.5	1.5	Federmeier et al. (2007)	0.157219251336898	-8.13022910333437	-9.218438587611733
It was time to hang the new pictures	pictures	7	dataset 1_01	223	8.154212694914229	4.71	2.45	Federmeier et al. (2007)	0.235943775100402	7.978633579113389	5.944957983374704
At night the old woman locked the refrigerator	refrigerator	7	dataset 1_01	4	6.059123195581797	5	4.15	Federmeier et al. (2007)	0	-15.461503752554464	-6.0379042428284375
Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another hour	hour	18	dataset 1_01	207	9.021356672308675	3.1	1.45	Federmeier et al. (2007)	1	-9.256604511578336	-17.675017915753763
In his day, that old guy was one of the best athletes	athletes	11	dataset 1_01	262	5.062595033026967	4.3	2.8	Federmeier et al. (2007)	0.236418511066398	1.5512393529239086	-6.022787741963568
Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the race	race	17	dataset 1_01	41	8.057694194815587	3.59	1	Federmeier et al. (2007)	0.0290581162324649	-3.0321161679817656	14.63717925561741
It's hard to admit when one is scared	scared	7	dataset 1_01	192	8.825265953515752	2.5	1.3	Federmeier et al. (2007)	0	-3.337937194073941	-11.923028117031985
There was a moth caught in the light	light	7	dataset 1_01	295	9.039077442538964	4.21	1.2	Federmeier et al. (2007)	0.182194616977226	-8.2737058778084709	-12.49912573486805
All of their friends have noted that Joe and his wife are always late	late	13	dataset 1_01	204	9.529303064460995	2.6	1	Federmeier et al. (2007)	0.0290872617853561	7.844961601564473	-4.800879851319111
Rushing out he forgot to take his keys	keys	7	dataset 1_01	71	7.86403565907245	4.89	1.85	Federmeier et al. (2007)	0.242518059855521	-3.0614795664911263	-5.849163837424682
Rafael wants to preserve the national forest by guarding every tree	tree	10	dataset 1_01	160	8.106514516255185	5	1.2	Federmeier et al. (2007)	0.851129363449692	-0.08156389350125455	1.8989857256053184
The exit was marked by a large sign	sign	7	dataset 1_01	343	8.824383730256061	4.62	1.75	Federmeier et al. (2007)	0.727835051546392	-10.16622863130014	-7.496134836474466
The piano was out of place	place	5	dataset 1_01	64	10.33322241961703	3.48	1.45	Federmeier et al. (2007)	0	-13.948872821756108	-21.84524172581342
They decided to buy a small place and build an addition with two more rooms	rooms	14	dataset 1_01	281	7.190676034332207	4.57	1.4	Federmeier et al. (2007)	0.765765765765766	-3.208174269651859	-2.3086516997504862
He really wanted to go, but decided to stay home to wait for the timer	timer	14	dataset 1_01	139	5.768320995793772	4.69	1.3	Federmeier et al. (2007)	0	-5.93010725347439	-12.82777948028587
As a reminder of his cat's first bath, he had a scratch on his arm	arm	14	dataset 1_01	108	8.112827478751374	4.96	1	Federmeier et al. (2007)	0.398803589232303	0.12441577330030176	-14.199785821017064
They raised pigs on their farm	farm	5	dataset 1_01	114	7.334981878871814	4.59	1.4	Federmeier et al. (2007)	0.827345309381238	3.1216173335383015	1.854323238700247
Although she heard it ringing, Nancy was too busy cleaning the chimney to get the phone	phone	15	dataset 1_01	51	9.529303064460995	4.86	1.55	Federmeier et al. (2007)	1	7.172222766525444	-10.923405734428496
Most of the trees died after last year's drought	drought	8	dataset 1_01	85	4.2626798770413155	3.74	1.8	Federmeier et al. (2007)	0.364293085655315	-11.54715931189745	-17.390814463965945
She decided to start a new diet	diet	6	dataset 1_01	338	6.665683717782408	3.21	1.35	Federmeier et al. (2007)	0	-4.02189138920769	-8.842430330140614
He was so busy and overwhelmed that he had forgotten to respond to the card	card	14	dataset 1_01	1	8.379768515504566	4.9	1	Federmeier et al. (2007)	0	2.2789808664782454	10.162590417143264
Alfonso has started biking to work instead of driving his friends	friends	10	dataset 1_01	274	9.653679132512428	3.07	2.15	Federmeier et al. (2007)	0	-23.26661632964043	-8.606810247897226
Paul painted the clown's suit blue and gave him a big red nose	nose	12	dataset 1_01	237	8.17695386822578	4.89	1	Federmeier et al. (2007)	0.912912912912913	-4.290992185475317	11.4322191089585
Most kids think that adults are old	old	6	dataset 1_01	261	10.343579504787346	2.72	1	Federmeier et al. (2007)	0.235943775100402	-9.68289924369848	-14.097033166965488
He wrote himself a note so that he wouldn't forget	forget	9	dataset 1_01	22	9.556126244582746	2.04	1.7	Federmeier et al. (2007)	0.971	6.2094584204360475	0.6490357832927036
She wished she had brought something to eat	eat	7	dataset 1_01	171	9.46086560003161	4.44	1	Federmeier et al. (2007)	0.362962962962963	4.4864118924975624	0.32888809678238845
All of her neighbors thought the old woman was a witch	witch	10	dataset 1_01	36	7.252053951852814	4.17	1.1	Federmeier et al. (2007)	0.207035175879397	-16.724946379547887	-20.622717737099524
Richard was afraid to walk near the edge of the cliff because he was afraid he would fall	fall	17	dataset 1_01	266	8.706986763048892	4.04	1.1	Federmeier et al. (2007)	0.912912912912913	5.45966394625538	-1.5806726900020451
He knew that he could call Chris even if it was the middle of the night	night	15	dataset 1_01	269	10.695778464533518	4.52	1.25	Federmeier et al. (2007)	0.912912912912913	0.6599739493728555	-4.013379961042067
She took the baby out when he started to cry and had to miss the rest of the game	game	18	dataset 1_01	263	9.386560016578668	4.5	1	Federmeier et al. (2007)	0.0882647943831494	-7.440519235004181	-8.254562207832043
Nora couldn't take the message because she didn't have a pencil or a piece of chalk	chalk	15	dataset 1_01	264	5.214935757608986	4.9	1.85	Federmeier et al. (2007)	0	-16.892754714050472	-18.44369224868666
They carelessly dumped the toxic waste into the trunk	trunk	8	dataset 1_01	69	6.918695219020472	4.71	1.75	Federmeier et al. (2007)	0	4.62937961510786	-1.2403676565324715
She cleaned the dirt from her shoes	shoes	6	dataset 1_01	95	8.23827262463303	4.97	1.5	Federmeier et al. (2007)	0.455633100697906	8.603961322237822	-4.629442611726713
Simon thinks it's ok to listen to loud music even if the door to his bedroom is broken	broken	17	dataset 1_01	321	8.19836438996762	4.11	1.9	Federmeier et al. (2007)	0	-6.464554639752067	-14.610785867531035
The problem with Christine is that she can't take a joke	joke	10	dataset 1_01	353	8.22282213081366	2.9	1.05	Federmeier et al. (2007)	0.819401444788442	-4.0111097793262065	-18.29452973292929
He drove the nail into the wood	wood	6	dataset 1_01	74	7.228388451573604	4.85	1.2	Federmeier et al. (2007)	0.34468085106383	-6.562507564672232	-5.772922079722913
They waited a long time to see the show	show	8	dataset 1_01	119	10.122904167442703	3.97	1	Federmeier et al. (2007)	0.204708290685773	12.699615839178138	3.087642614073674
Ron bought a board for the window that was too long and then he bought one that was too ugly	ugly	19	dataset 1_01	283	7.67368812926773	3.23	2	Federmeier et al. (2007)	0	-9.771238689476494	-21.446456308191593
Pam did not have any clothes to mend	mend	7	dataset 1_01	120	4.897839799950911	3.5	1	Federmeier et al. (2007)	0	-14.335770546850243	-0.5484802226169881
The lady felt proud to look at her meal	meal	8	dataset 1_01	67	7.29505641646263	4.62	1	Federmeier et al. (2007)	0	7.94874004450428	5.559851218720698
The last thing they were expecting on their wedding day was a raging panic	panic	13	dataset 1_01	33	7.016609683894219	3.04	1.85	Federmeier et al. (2007)	0	0.6931493190894125	-2.323655836630542
He mailed the letter without a hesitation	hesitation	6	dataset 1_01	97	4.553876891600541	2.59	2.55	Federmeier et al. (2007)	0	-33.23152815993158	-25.044385636424614
The only food in the refrigerator was a moldy sandwich	sandwich	9	dataset 1_01	267	7.020190708311925	4.9	3.5	Federmeier et al. (2007)	0.282215122470714	5.546467092588016	-4.701192945050978
As a child he used to collect stamps	stamps	7	dataset 1_01	20	5.5909869805108565	4.7	1.75	Federmeier et al. (2007)	0.334710743801653	0.9442957280390056	-4.878023575995029
The squirrel stored some nuts in the basement	basement	7	dataset 1_01	59	6.980075940561763	4.89	2.45	Federmeier et al. (2007)	0	17.119413042890677	7.7885942649593565
Every winter you see the Hernandez house and its huge chimney with puffs of billowing snow	snow	15	dataset 1_01	77	7.377758908227872	4.85	1.35	Federmeier et al. (2007)	0	-8.29291253133614	-2.8618896125860545
The rude waiter was not given a tray	tray	7	dataset 1_01	35	6.018593214496234	4.74	1.05	Federmeier et al. (2007)	0	-7.100756342600207	-5.821177376570422
When you go to bed turn off the sarcasm	sarcasm	8	dataset 1_01	177	4.990432586778736	1.63	2.95	Federmeier et al. (2007)	0	-0.6199614622602092	-9.607674807506225
You could tell from the way he reacted that he did not like vomit	vomit	13	dataset 1_01	163	5.60947179518496	4.75	1.9	Federmeier et al. (2007)	0	-10.52214239928603	-4.923747014838307
He fell on the floor after tripping on the log	log	9	dataset 1_01	363	6.415096959171596	4.96	1	Federmeier et al. (2007)	0.0309168443496802	6.656516680379223	5.867414627285078
She was glad she had brought a good book with her since there was nothing to read at the office	office	19	dataset 1_01	260	9.249561085129464	4.93	2.45	Federmeier et al. (2007)	0.234090909090909	4.084470960185354	-12.500696920264613
He tried to put the pieces of the broken plate back together with care	care	13	dataset 1_01	146	10.116540363140167	2.33	1	Federmeier et al. (2007)	0	1.6846129055833097	-12.120416999523371
They went to see the famous clock	clock	6	dataset 1_01	23	8.003363058629947	5	1.4	Federmeier et al. (2007)	0	-7.7869112409414765	-21.294937325307338
The Italian chef was known for his fabulous pasta	pasta	8	dataset 1_01	289	5.37989735354046	4.86	1.5	Federmeier et al. (2007)	0.274043433298862	-0.8972700071473386	4.115845603057588
While the national anthem is played, everyone is expected to behave	behave	10	dataset 1_01	361	6.720220155135295	1.78	1.85	Federmeier et al. (2007)	0	-6.724517660691382	-6.253473030731384
Although John felt some remorse he decided to return the money	money	10	dataset 1_01	250	10.39451854897394	4.54	1.6	Federmeier et al. (2007)	0.182952182952183	-13.31561868225458	-5.025407682727073
None of his books made any fans	fans	6	dataset 1_01	122	6.568077911411976	4.71	1	Federmeier et al. (2007)	0	4.153838953346082	-0.3880766026495063
They both have jobs but they get some extra income by raising chickens	chickens	12	dataset 1_01	149	6.255750041753367	4.8	2.2	Federmeier et al. (2007)	0.142430278884462	-3.5022841549151154	2.701787915247043
It was important to be on time	time	6	dataset 1_01	25	11.5118348704882	3.07	1.2	Federmeier et al. (2007)	0.819401444788442	-6.499672685547154	-11.994414884768956
The last thing he expected was to have such a blast	blast	10	dataset 1_01	324	6.716594773520978	3.9	1.65	Federmeier et al. (2007)	0.134396355353075	0.1608675266213131	-9.79150362618137
No matter how hard she tried, she could not remember the suggestions	suggestions	11	dataset 1_01	288	5.6240175061873385	2.23	3.5	Federmeier et al. (2007)	0	-0.9429871588636832	-17.905183741513348
Don't touch the wet clothes	clothes	4	dataset 1_01	247	8.54849804124465	4.76	1.85	Federmeier et al. (2007)	0	-7.333687495602998	-0.1938925138341283
The construction worker had developed very powerful arms from unloading bags of cement from the truck	truck	15	dataset 1_01	60	8.220672170297252	4.84	1.6	Federmeier et al. (2007)	0.879381443298969	0.27733105126033253	-15.682382097786332
